SampleID	Batch_MG	Batch_MT	Batch_mRNA	Strain	Age	Age_group	Diet	Sex	GxD	Body_weight	QuadricepsWeight	SoleusWeight	Class	AgeC	HDL	LDL	TotalChol	ALT	ASAT	ALToverASAT	Creatinine	CreatineKinase	Glucose	LDH	Triglycerides	Bilirubin	FFA	BileAcids	Lactate	Protein	ALPL	Iron	Amylase	TIMEonDIET	Diet_StartYear	Diet_StartMonth	SampleID2	SacDate	SacDate_Year	SacDate_Month	DateOfBirth	DateOfDeath
C181	batch2			BXD48a	233	AG1	HF	F	BXD48a_HF	41.76			HF_Y	Young	3.01	0.2	3	116	646	0.18	31	3355	13.4	1986	0.81	0	0.9	5.2	8.5	54.8	61	25.4	795	88	2012	2	C_181	11/5/12	2012	5	21.09.11	11.05.12
C182	batch2			BXD61	524	AG3	CD	F	BXD61_CD	36.58	0.173	0.017	CD_O	Old																				419	2014	10	C_182	15/12/2015	2015	12	09.07.14	15.12.15
C183	batch2	batch3		BXD61	524	AG3	HF	F	BXD61_HF	58.54	0.168	0.024	HF_O	Old																				419	2014	10	C_183	15/12/2015	2015	12	09.07.14	15.12.15
C184	batch2	batch3		BXD77	757	AG4	CD	F	BXD77_CD	24.4	0.0961		CD_O	Old	1.3	0.19	1.7	62	469	0.13	0	4619	9.1	956	0.63	0	0.33	4.2	12.4	46.2	126	29.3	784	365	2012	2	C_184	12/2/13	2013	2	17.01.11	12.02.13
C185	batch2			D2B6F1	214	AG1	HF	F	D2B6F1_HF	56.73	0.176	0.01	HF_Y	Young	3.88	0.29	3.8	147	222	0.66	23	2671	16.4	808	0.09	0.5	0.56	3.1	9.3	55.8	84	22.1	890	70	2013	8	C_185	17/10/2013	2013	10	17.03.13	17.10.13
C186	batch2			BXD29	385	AG2	CD	F	BXD29_CD	24.45	0.1519		CD_Y	Young	1.24	0.13	1.2	39	114	0.34	7	326	13.3	438	0.11	0	0.41	29.7	4.4	49.9	184	20.8	678	206	2012	7	C_186	11/2/13	2013	2	23.01.12	11.02.13
C187	batch2			BXD32	365	AG2	HF	F	BXD32_HF	39.01	0.2157		HF_Y	Young																				206	2012	7	C_187	11/2/13	2013	2	12.02.12	11.02.13
C188	batch2			BXD34	545	AG3	CD	F	BXD34_CD	25.5	0.1353	0.0174	CD_O	Old	2.19	0.11	2.2	69	104	0.66	1	143	11.8	354	0.3	0	0.68	13.7	5.4	53.8	124	35.6	1099	379	2013	8	C_188	22/08/2014	2014	8	23.02.13	22.08.14
C190	batch2			BXD62	343	AG2	HF	F	BXD62_HF	35.15	0.166		HF_Y	Young	1.18	0.21	1.2	47	277	0.17	0	34	9	88	0.23	0	0.3	9	4.3	30	38	20	442	207	2012	7	C_190	12/2/13	2013	2	06.03.12	12.02.13
C191	batch2			BXD65	367	AG2	CD	F	BXD65_CD	33.63	0.1756	0.0124	CD_Y	Young	2.12	0.24	2.2	95	259	0.37	0	1023	13.3	485	0.79	0	0.95	3.2	10.5	51.1	131	24.7	772	151	2013	8	C_191	6/1/14	2014	1	04.01.13	06.01.14
C196	batch2	batch3		BXD90	343	AG2	HF	F	BXD90_HF	45.43	0.118	0.012	HF_Y	Young	1.47	0.22	1.5	183	403	0.45	4	1591	10	969	0.54	1.4	0.55	174.9	13.3	52.5	123	18.3	627	151	2013	8	C_196	6/1/14	2014	1	28.01.13	06.01.14
C197	batch2			BXD24	677	AG4	CD	F	BXD24_CD	32.34		0.029	CD_O	Old																				613	2014	4	C_197	15/12/2015	2015	12	06.02.14	15.12.15
C198	batch2			BXD32	517	AG3	CD	F	BXD32_CD	32.17		0.015	CD_O	Old																				419	2014	10	C_198	15/12/2015	2015	12	16.07.14	15.12.15
C199	batch2			BXD32	539	AG3	HF	F	BXD32_HF	51.32	0.121	0.006	HF_O	Old	1.55	0.18	1.7	98	103	0.95	13	239	9.5	410	0.14	0	0.25	4.8	8.4	49.3	229	34.7	1017	427	2013	8	C_199	9/10/14	2014	10	18.04.13	09.10.14
C200	batch2			BXD34	537	AG3	HF	F	BXD34_HF	69.25	0.151	0.02	HF_O	Old	1.46	0.16	1.5	42	101	0.42	11	128	12.2	292	0.05	0.2	0.34	1.4	2.9	47.5	101	19.2	1838	427	2013	8	C_200	9/10/14	2014	10	20.04.13	09.10.14
C201	batch2			BXD61	345	AG2	CD	F	BXD61_CD	30.37	0.152	0.012	CD_Y	Young																				278	2015	3	C_201	16/12/2015	2015	12	05.01.15	16.12.15
C202	batch2			BXD61	364	AG2	HF	F	BXD61_HF	47.55	0.139	0.013	HF_Y	Young																				278	2015	3	C_202	16/12/2015	2015	12	17.12.14	16.12.15
C203	batch2			BXD65	527	AG3	CD	F	BXD65_CD	30.76	0.119	0.014	CD_O	Old																				484	2014	8	C_203	16/12/2015	2015	12	07.07.14	16.12.15
C204	batch2			BXD65	541	AG3	CD	F	BXD65_CD	31.66	0.114	0.01	CD_O	Old																				490	2014	8	C_204	16/12/2015	2015	12	23.06.14	16.12.15
C205	batch2			BXD65	527	AG3	HF	F	BXD65_HF	57.14	0.174	0.019	HF_O	Old																				484	2014	8	C_205	16/12/2015	2015	12	07.07.14	16.12.15
C206	batch2			BXD65	541	AG3	HF	F	BXD65_HF	62.99	0.106	0.01	HF_O	Old																				490	2014	8	C_206	16/12/2015	2015	12	23.06.14	16.12.15
C207	batch2			BXD13	362	AG2	CD	F	BXD13_CD	19.1	0.0754	0.0177	CD_Y	Young	1.25	0.31	1.5	570	625	0.91	14	1101	13.8	2402	0.56	2.1	0.32	9.1	11.6	61.8	107	28.8	774	294	2013	11	C_207	5/9/14	2014	9	08.09.13	05.09.14
C208	batch2			BXD73	539	AG3	CD	F	BXD73_CD	20.47	0.098	0.01	CD_O	Old																				420	2014	10	C_208	16/12/2015	2015	12	25.06.14	16.12.15
C209	batch2	batch3		BXD99	182	AG1	HF	F	BXD99_HF	36.29	0.1422	0.0295	HF_Y	Young	3.24	0.24	3.5	120	162	0.74	11	257	12.4	508	0.58	0	0.5	1.8	5.8	48.1	90	23.8	733	116	2014	1	C_209	9/5/14	2014	5	08.11.13	09.05.14
C210	batch2	batch3		BXD29	225	AG1	CD	F	BXD29_CD	23.7		0.015	CD_Y	Young	1.55	0.18	1.7	37	67	0.55	16	109	11.1	216	0.41	0	0.85	16.3	6.2	44	191	22	583	46	2012	7	C_210	4/9/12	2012	9	23.01.12	04.09.12
C211	batch2			BXD34	361	AG2	CD	F	BXD34_CD	25.3		0.012	CD_Y	Young	1.99	0.16	2.1	59	202	0.29	11	569	12.3	411	0.36	1	0.71	4.2	6	45.6	76	17.9	857	205	2012	2	C_211	5/9/12	2012	9	10.09.11	05.09.12
C212	batch2			BXD34	554	AG3	CD	F	BXD34_CD	25.34	0.097	0.005	CD_O	Old	1.84	0.11	1.8	116	307	0.38	6	1230	9.3	537	0.23	0	0.51	7.9	14.1	48.7	214	34.7	1057	452	2012	7	C_212	15/10/2013	2013	10	09.04.12	15.10.13
C213	batch2			BXD34	361	AG2	HF	F	BXD34_HF	57.5		0.015	HF_Y	Young	3.85	0.21	3.8	57	118	0.48	11	133	17.7	365	0.69	0.4	0.58	2.7	5.3	47.9	67	23.9	1005	205	2012	2	C_213	5/9/12	2012	9	10.09.11	05.09.12
C214	batch2			BXD48	189	AG1	HF	F	BXD48_HF	41.8	0.1773	0.0229	HF_Y	Young	2.85	0.34	3	54	154	0.35	10	293	12.2	1097	0.46	0	0.09	2.1	9.7	60.9	88	33.4	918	73	2015	2	C_214	20/04/2015	2015	4	13.10.14	20.04.15
C215	batch2	batch3		BXD49	190	AG1	CD	F	BXD49_CD	26.15	0.1591	0.0128	CD_Y	Young	1.27	0.23	1.2	89	177	0.5	12	583	9.9	1185	0.37	0	0.23	12	17.9	66.5	0	36.2	617	77	2015	2	C_215	24/04/2015	2015	4	16.10.14	24.04.15
C216	batch2			BXD49	190	AG1	HF	F	BXD49_HF	28.43	0.1321	0.018	HF_Y	Young	2.11	0.32	2.3	57	149	0.38	12	984	8.5	875	1.1	0	1.15	20.9	17.6	56.5	57	19.2	716	77	2015	2	C_216	24/04/2015	2015	4	16.10.14	24.04.15
C217	batch2			BXD101	756	AG4	CD	F	BXD101_CD	25.22	0.0832	0.0081	CD_O	Old																				628	2015	2	C_217	26/10/2016	2016	10	01.10.14	26.10.16
C218	batch2			BXD62	253	AG2	CD	F	BXD62_CD	25	0.117	0.014	CD_Y	Young	1.84	0.39	2	511	787	0.65	10	5640	13.6	2056	0.28	0	0.33	2.8	14.3	48.3	48	26.1	868	180	2014	10	C_218	20/04/2015	2015	4	10.08.14	20.04.15
C219	batch2			BXD65	186	AG1	CD	F	BXD65_CD	26.51	0.1359	0.013	CD_Y	Young	2.62	0.32	2.7	34	75	0.45	11	393	12	832	0.64	1.7	0.78	9	19	55.6	82	23.5	641	77	2015	2	C_219	24/04/2015	2015	4	20.10.14	24.04.15
C220	batch2			BXD65	230	AG1	HF	F	BXD65_HF	44.34			HF_Y	Young	3.57	0.26	3.8	64	384	0.17	23	6515	13.1	1135	0.85	0.3	0.71	4.9	4.1	50.1	70	18.9	686	87	2012	2	C_220	10/5/12	2012	5	23.09.11	10.05.12
C221	batch2			BXD66	184	AG1	CD	F	BXD66_CD	27.36	0.117	0.0124	CD_Y	Young	2.33	0.27	2.4	68	133	0.51	0	347	8.1	1303	1.33	0	1.33	5.7	20.4	61.6	104	41.3	1082	77	2015	2	C_221	24/04/2015	2015	4	22.10.14	24.04.15
C222	batch2			BXD66	184	AG1	HF	F	BXD66_HF	36.52	0.1431	0.0133	HF_Y	Young	3.63	0.36	3.7	110	208	0.53	1	833	7	1196	0.91	0	1.14	1.6	18.7	59.1	55	44.5	952	77	2015	2	C_222	24/04/2015	2015	4	22.10.14	24.04.15
C223	batch2			BXD69	558	AG3	CD	F	BXD69_CD	33.33	0.1218	0.0069	CD_O	Old	1.88	0.08	1.8	89	159	0.56	22	215	11.7	495	0.47	0	0.64	8	8.2	45.8	138	28.2	898	334	2012	7	C_223	19/06/2013	2013	6	09.12.11	19.06.13
C224	batch2			BXD65	541	AG3	CD	F	BXD65_CD	27.49	0.172	0.018	CD_O	Old																				490	2014	8	C_224	16/12/2015	2015	12	23.06.14	16.12.15
C225	batch2			BXD77	352	AG2	CD	F	BXD77_CD	25		0.0099	CD_Y	Young	2.08	0.14	2.2	59	342	0.17	24	4096	15.8	663	0.44	1.3	0.58	2.3	9.7	47.7	206	24.7	871	205	2012	2	C_225	5/9/12	2012	9	19.09.11	05.09.12
C226	batch2			BXD79	217	AG1	CD	F	BXD79_CD	25.5		0.011	CD_Y	Young	1.59	0.15	1.8	49	88	0.56	0	238	16.8	213	0.57	0	0.49	10	10	44	152	22.5	607	46	2012	7	C_226	4/9/12	2012	9	31.01.12	04.09.12
C227	batch2			BXD79	571	AG3	HF	F	BXD79_HF	41.9	0.1061	0.0091	HF_O	Old	1.84	0.31	1.6	99	215	0.46	9	1293	12.7	1084	0.7	0	0.44	3.7	6.7	42.9	162	20.7	455	334	2012	7	C_227	19/06/2013	2013	6	26.11.11	19.06.13
C228	batch2			BXD77	723	AG4	HF	F	BXD77_HF	45.46	0.118	0.006	HF_O	Old	2.25	0.15	2.1	394	1154	0.34	16	3984	12.8	2127	0.38	0.6	0.86	3.4	9.2	43.6	64	29.9	1516	611	2012	2	C_228	16/10/2013	2013	10	24.10.11	16.10.13
C229	batch2			BXD87	393	AG2	CD	F	BXD87_CD	20.64	0.102	0.0121	CD_Y	Young																				231	2016	1	C_229	1/9/16	2016	9	05.08.15	01.09.16
C230	batch2	batch3		BXD65b	1017	AG4	CD	F	BXD65b_CD	16.39		0.0111	CD_O	Old																				895	2014	4	C_230	22/09/2016	2016	9	10.12.13	22.09.16
C232	batch2			BXD102	544	AG3	HF	F	BXD102_HF	52.31	0.16	0.022	HF_O	Old	2.05	0.21	2.3	42	91	0.46	10	282	11.3	309	0.42	0	0.58	7.1	3.3	42.4	38	17.7	1037	284	2014	1	C_232	24/10/2014	2014	10	28.04.13	24.10.14
C233	batch2	batch3		BXD73b	573	AG3	HF	F	BXD73b_HF	31	0.119	0.003	HF_O	Old	1.48	0.14	1.4	232	340	0.68	12	4438	12.1	963	0.22	1.3	0.57	15.5	10	38.6	88	30.3	1826	453	2012	7	C_233	16/10/2013	2013	10	22.03.12	16.10.13
C234	batch2			BXD89	243	AG1	HF	F	BXD89_HF	36.39			HF_Y	Young	1.82	0.16	1.8	117	879	0.13	15	3049	7.7	1893	0.63	0	0.87	2.7	4.8	46.3	240	30	879	88	2012	2	C_234	11/5/12	2012	5	11.09.11	11.05.12
C235	batch2			BXD40	180	AG1	HF	F	BXD40_HF	42.33	0.187	0.021	HF_Y	Young	1.65	0.11	1.5	108	240	0.45	11	1850	13.1	710	0.24	0	0.45	23.3	6.2	43.5	88	22.3	568	91	2014	7	C_235	24/10/2014	2014	10	27.04.14	24.10.14
C237	batch2			BXD70	357	AG2	HF	F	BXD70_HF	59.73	0.1331	0.0053	HF_Y	Young	4.13	0.49	4.5	136	201	0.68	11	433	15.9	718	0.33	0	0.9	20.3	6.1	53.3	108	35.6	1311	248	2014	4	C_237	15/12/2014	2014	12	23.12.13	15.12.14
C238	batch2			BXD73b	237	AG1	HF	F	BXD73b_HF	26.83			HF_Y	Young	2.38	0.24	2.4	83	602	0.14	17	4856	8.8	1292	0.45	2.2	0.83	19.6	5.8	45.1	76	29.6	874	88	2012	2	C_238	11/5/12	2012	5	17.09.11	11.05.12
C240	batch2			BXD40	358	AG2	HF	F	BXD40_HF	30.05	0.1522	0.0096	HF_Y	Young	0.23	0.22	0.4	325	1047	0.31	0	5919	5.4	2898	0.14	0	0.22	4	5.5	16.9	31	13.4	813	186	2014	6	C_240	15/12/2014	2014	12	22.12.13	15.12.14
C241	batch2			BXD70	357	AG2	CD	F	BXD70_CD	23.91	0.1284	0.0118	CD_Y	Young	1.77	0.28	1.6	62	170	0.36	0	806	11.1	947	0.57	0	0.39	2.3	7.4	55.9	75	35.9	872	248	2014	4	C_241	15/12/2014	2014	12	23.12.13	15.12.14
C242	batch2			BXD48a	233	AG1	CD	F	BXD48a_CD	27.08			CD_Y	Young	1.22	0.1	1.5	60	315	0.19	27	6652	11.3	914	0.73	0	0.55	16.7	7.6	46.2	102	14.9	846	88	2012	2	C_242	11/5/12	2012	5	21.09.11	11.05.12
C243	batch2			B6D2F1	547	AG3	HF	F	B6D2F1_HF	72.2	0.1885	0.018	HF_O	Old																				448	2015	8	C_243	26/10/2016	2016	10	28.04.15	26.10.16
C244	batch2			BXD73b	497	AG3	CD	F	BXD73b_CD	23.54	0.1059	0.0086	CD_O	Old	1.73	0.25	1.9	150	298	0.5	13	1913	9	1580	0.3	1.3	0.55	3.9	18.2	52.1	160	30.9	1157	385	2014	4	C_244	1/5/15	2015	5	20.12.13	01.05.15
C245	batch2			BXD65b	415	AG2	HF	F	BXD65b_HF	59.86	0.1421	0.0184	HF_Y	Young	1.09	0.72	0.3	35	148	0.24	7	491	12.4	588	1.13	0	0.56	1.9	16.4	52.5	25	23.3	866	323	2014	6	C_245	1/5/15	2015	5	12.03.14	01.05.15
C246	batch2			BXD77	460	AG3	CD	F	BXD77_CD	27.43	0.1299	0.0136	CD_O	Old	0.21	0.66	0.7	80	658	0.12	6	3589	7.5	509	0.7	0	0.16	4.9	18.1	50.4	67	29.8	886	427	2014	2	C_246	1/5/15	2015	5	26.01.14	01.05.15
C247	batch2			BXD95	366	AG2	CD	F	BXD95_CD	32.36	0.1409	0.0186	CD_Y	Young	2.56	0.28	2.5	151	169	0.89	2	600	11.1	934	0.3	0	0.66	2.9	13.1	63.6	201	31.7	798	258	2013	8	C_247	23/04/2014	2014	4	22.04.13	23.04.14
