SampleID	Batch_MG	Batch_MT	Batch_mRNA	Strain	Age	Age_group	Diet	Sex	GxD	Body_weight	QuadricepsWeight	SoleusWeight	Class	AgeC	HDL	LDL	TotalChol	ALT	ASAT	ALToverASAT	Creatinine	CreatineKinase	Glucose	LDH	Triglycerides	Bilirubin	FFA	BileAcids	Lactate	Protein	ALPL	Iron	Amylase	TIMEonDIET	Diet_StartYear	Diet_StartMonth	SampleID2	SacDate	SacDate_Year	SacDate_Month	DateOfBirth	DateOfDeath
C001		batch2	batch2	BXD63	752	AG4	HF	F	BXD63_HF	58.93	0.1329	0.0163	HF_O	Old																				628	2015	2	C_001	26/10/2016	2016	10	05.10.14	26.10.16
C007	batch2			BXD69	210	AG1	HF	F	BXD69_HF	42.33	0.16	0.01	HF_Y	Young	3.52	0.15	3.3	85	150	0.57	17	187	20.5	443	0.21	0	0.98	3	2.9	48.5	107	16.7	1106	69	2013	8	C_007	16/10/2013	2013	10	20.03.13	16.10.13
C008	batch1	batch1	batch1	BXD32	200	AG1	CD	F	BXD32_CD	25.5	0.1423	0.0119	CD_Y	Young	0.39	0.44	1.2	225	536	0.42	1	3894	17	1387	0.59	0	0.18	33	20.1	53	87	40.1	808	73	2015	2	C_008	20/04/2015	2015	4	02.10.14	20.04.15
C009	batch1	batch1	batch1	BXD32	200	AG1	HF	F	BXD32_HF	30.9	0.1572	0.0107	HF_Y	Young	2.56	0.26	2.4	997	1620	0.62	2	5334	9.9	2722	0.36	0	0.47	10.1	16.5	49.7	85	36.1	983	73	2015	2	C_009	20/04/2015	2015	4	02.10.14	20.04.15
C010		batch2	batch2	C57BL/6J	213	AG1	HF	M	C57BL/6J_HF	44.3	0.2233	0.022	HF_Y	Young	4.12	0.33	4.9	57	61	0.93	19	353	13.7	583	0.64	0	0	0.65	0	0.2	49.8	34	25.8	73	2015	2	C_010	20/04/2015	2015	4	19.09.14	20.04.15
C011		batch2	batch2	BXD61	754	AG4	HF	F	BXD61_HF	60.13	0.1177	0.009	HF_O	Old																				628	2015	2	C_011	26/10/2016	2016	10	03.10.14	26.10.16
C012	batch2			BXD90	732	AG4	CD	F	BXD90_CD	23.02	0.091	0.009	CD_O	Old	1.78	0.24	2.1	504	620	0.81	7	2239	9	1696	1.11	0	0.8	15.1	13.7	48.6	732	25.6	1076	540	2013	8	C_012	30/01/2015	2015	1	28.01.13	30.01.15
C014		batch1	batch2	C57BL/6J	734	AG4	HF	F	C57BL/6J_HF	39.05	0.065	0.0137	HF_O	Old																				594	2015	2	C_014	22/09/2016	2016	9	19.09.14	22.09.16
C015	batch1	batch1	batch2	BXD65b	748	AG4	CD	F	BXD65b_CD	18.21	0.0615	0.0076	CD_O	Old																				628	2015	2	C_015	26/10/2016	2016	10	09.10.14	26.10.16
C016	batch1	batch1	batch1	C57BL/6J	207	AG1	HF	F	C57BL/6J_HF	31.83	0.165	0.009	HF_Y	Young	2.4	0.35	3.1	222	401	0.55	21	2521	20.1	604	0.32	0.3	0.88	23.3	10.9	56	79	30.9	1846	70	2013	8	C_016	17/10/2013	2013	10	24.03.13	17.10.13
C017	batch2			BXD34	748	AG4	CD	F	BXD34_CD	25.97	0.104	0.006	CD_O	Old	1.35	0.35	1.6	45	107	0.42	0	90	7.4	260	0.07	0.3	0.26	4.1	11.7	40.4	235	36.9	915	610	2012	2	C_017	15/10/2013	2013	10	28.09.11	15.10.13
C018		batch1	batch2	BXD73	759	AG4	CD	F	BXD73_CD	17.14	0.0842	0.0109	CD_O	Old																				680	2014	10	C_018	1/9/16	2016	9	04.08.14	01.09.16
C019		batch2	batch2	C57BL/6J	182	AG1	HF	F	C57BL/6J_HF	31.34	0.162	0.017	HF_Y	Young	0.22	1.91	2.6	366	1347	0.27	19	5349	11.6	4804	1.63	8.9	8.9	2.95	798.3	7.6	52.4	0	25.9	134	2014	6	C_019	24/10/2014	2014	10	25.04.14	24.10.14
C020	batch1	batch1	batch2	BXD32	742	AG4	CD	F	BXD32_CD	22.3	0.0982		CD_O	Old	1.59	0.31	2.2	42	175	0.24	0	437	11.1	956	0.77	0	0.73	16.7	7.4	40	113	19.2	772	364	2012	2	C_020	11/2/13	2013	2	31.01.11	11.02.13
C021		batch2	batch2	BXD69	210	AG1	HF	F	BXD69_HF	42.13	0.149	0.007	HF_Y	Young	2.33	0.18	2.4	125	430	0.29	7	1089	12.7	1317	0.3	0	0	0.42	14.4	8	46.4	95	24.9	69	2013	8	C_021	16/10/2013	2013	10	20.03.13	16.10.13
C022		batch1	batch2	BXD34	201	AG1	HF	F	BXD34_HF	35.42	0.146	0.007	HF_Y	Young	2.6	0.14	2.3	205	583	0.35	4	2379	10.7	1102	0.03	0	0	0.49	16.9	6.7	44.5	55	21.6	69	2013	8	C_022	16/10/2013	2013	10	29.03.13	16.10.13
C023	batch1	batch1	batch1	DBA/2J	709	AG4	HF	F	DBA2J_HF	26.9		0.021	HF_O	Old	1.8	0.46	1.9	69	148	0.47	0	714	4.8	826	0.37	3.3	0.48	7.6	15.1	47.8	227	38.5	914	535	2012	7	C_023	6/1/14	2014	1	28.01.12	06.01.14
C024		batch2	batch2	DBA/2J	212	AG1	HF	F	DBA/2J_HF	38.91	0.166	0.008	HF_Y	Young	0.23	0.05	0.3	90	1320	0.07	0	2568	3.9	2064	0.89	17.2	17.2	0	6.2	7.5	27.6	0	28	70	2013	8	C_024	17/10/2013	2013	10	19.03.13	17.10.13
C025	batch1	batch2	batch2	BXD69	785	AG4	CD	F	BXD69_CD	22.27	0.1158	0.0116	CD_O	Old																				680	2014	10	C_025	1/9/16	2016	9	09.07.14	01.09.16
C025_n	batch2			BXD69	785	AG4	CD	F	BXD69_CD	22.27	0.1158	0.0116	CD_O	Old																				680	2014	10	C_025	1/9/16	2016	9	09.07.14	01.09.16
C025_r	batch2			BXD69	785	AG4	CD	F	BXD69_CD	22.27	0.1158	0.0116	CD_O	Old																				680	2014	10	C_025	1/9/16	2016	9	09.07.14	01.09.16
C026	batch1	batch2	batch2	D2B6F1	210	AG1	CD	F	D2B6F1_CD	37.96	0.182	0.01	CD_Y	Young	0.57	0.28	0.9	531	1214	0.44	5	3409	9	1706	0.62	0	0.44	2	10.1	36	42	21.2	6042	70	2013	8	C_026	17/10/2013	2013	10	21.03.13	17.10.13
C027	batch1	batch2	batch2	BXD90	723	AG4	HF	F	BXD90_HF	38.9	0.0979	0.0117	HF_O	Old	2.21	0.51	2.5	57	84	0.68	20	110	14.8	453	0.1	0	0.28	1.6	13.9	53.9	507	23.6	1341	494	2013	8	C_027	15/12/2014	2014	12	22.12.12	15.12.14
C028	batch1	batch1	batch2	BXD65b	174	AG1	CD	F	BXD65b_CD	24.14	0.1496		CD_Y	Young	3.74	0.28	3.9	390	689	0.57	10	2011	16.6	2857	0.03	0.1	0.24	16.1	4.6	45.3	30	28.1	835	91	2014	7	C_028	24/10/2014	2014	10	03.05.14	24.10.14
C029	batch1	batch1	batch2	C57BL/6J	760	AG4	HF	M	C57BL/6J_HF	54.75	0.1618	0.0211	HF_O	Old	3.32	0.92	4.9	165	256	0.64	19	263	9.5	1501	0.47	0	0.1	66.7	9.2	74.1	42	31.1	1864	627	2013	8	C_029	27/04/2015	2015	4	28.03.13	27.04.15
C030	batch1	batch2	batch2	C57BL/6J	734	AG4	CD	F	C57BL/6J_CD	28.68	0.0875	0.0083	CD_O	Old	0.89	0.08	0.9	131	518	0.25	5	5701	1.3	1582	0.45	0	0.48	25.5	8.6	42.3	78	19.8	1258	335	2012	7	C_030	20/06/2013	2013	6	17.06.11	20.06.13
C030_r	batch2			C57BL/6J	734	AG4	CD	F	C57BL/6J_CD	28.68	0.0875	0.0083	CD_O	Old	0.89	0.08	0.9	131	518	0.25	5	5701	1.3	1582	0.45	0	0.48	25.5	8.6	42.3	78	19.8	1258	335	2012	7	C_030	20/06/2013	2013	6	17.06.11	20.06.13
C031	batch1	batch1	batch2	BXD63	218	AG1	CD	F	BXD63_CD	28.1		0.014	CD_Y	Young	1.26	0.08	1.3	122	697	0.18	13	4153	12.8	1455	0.36	0	0.36	4.3	8.1	30.8	65	18.6	624	46	2012	7	C_031	4/9/12	2012	9	30.01.12	04.09.12
C032		batch1	batch2	BXD63	216	AG1	HF	F	BXD63_HF	34.96			HF_Y	Young	2.71	0.12	2.6	114	786	0.15	25	3103	11.4	1503	0.65	0	0	0.58	13.1	5.7	45.1	73	28.9	86	2012	2	C_032	9/5/12	2012	5	06.10.11	09.05.12
C033	batch1	batch1	batch1	BXD102	183	AG1	CD	F	BXD102_CD	20.23	0.0972	0.0084	CD_Y	Young	0.42	0.31	1.1	601	1680	0.36	1	0	10.2	2269	0.36	0	0.39	15.4	12.5	38.7	87	20	729	137	2014	1	C_033	30/05/2014	2014	5	28.11.13	30.05.14
C034		batch2	batch2	BXD102	714	AG4	CD	F	BXD102_CD	28	0.109	0.005	CD_O	Old	0.18	0.31	0.5	96	916	0.1	2	2538	6.6	843	0.28	1.8	1.8	0.16	3.5	5.8	30.8	133	21.9	615	2012	2	C_034	17/10/2013	2013	10	03.11.11	17.10.13
C035	batch1	batch1	batch1	BXD48	731	AG4	CD	F	BXD48_CD	29.72	0.159	0.008	CD_O	Old	0.13	0.45	0.5	37	319	0.12	6	175	8.2	0	0.12	8.7	0.25	702.3	10	52.5	181	29.5	1396	610	2012	2	C_035	15/10/2013	2013	10	15.10.11	15.10.13
C036	batch1	batch1	batch1	BXD29	736	AG4	HF	F	BXD29_HF	47.41	0.1182	0.0129	HF_O	Old	0.85	0.17	0.7	59	198	0.3	0	854	9.9	664	0.09	2.1	0.5	17	8.3	44.6	98	24.5	772	535	2012	7	C_036	6/1/14	2014	1	01.01.12	06.01.14
C037	batch1	batch2	batch2	BXD63	186	AG1	HF	F	BXD63_HF	38.44	0.1533	0.024	HF_Y	Young	3.56	0.33	4.5	744	1048	0.71	13	2022	13.6	1613	1.86	0.2	0.58	6.5	9.7	51.2	74	36.3	957	112	2014	7	C_037	14/11/2014	2014	11	12.05.14	14.11.14
C038		batch2	batch2	BXD100	176	AG1	HF	F	BXD100_HF	33.57	0.1388	0.0247	HF_Y	Young	3	0.41	3.2	130	176	0.74	5	313	5.9	967	0.81	0	0	1.02	5	15.3	58.4	101	43.3	77	2015	2	C_038	24/04/2015	2015	4	30.10.14	24.04.15
C039	batch1	batch2	batch2	DBA/2J	212	AG1	CD	F	DBA2J_CD	29.18	0.168	0.006	CD_Y	Young	1.26	0.24	1.5	212	377	0.56	17	1841	14	836	2.32	2.1	1.53	1.6	12.5	51.1	133	26.8	1263	70	2013	8	C_039	17/10/2013	2013	10	19.03.13	17.10.13
C040	batch1	batch1	batch1	BXD32	200	AG1	CD	F	BXD32_CD	21.1	0.1296	0.0072	CD_Y	Young	1.73	0.22	1.8	74	124	0.6	10	220	10.5	557	0.28	0	0.34	4.8	13.5	52.8	162	29.7	765	73	2015	2	C_040	20/04/2015	2015	4	02.10.14	20.04.15
C041		batch1	batch1	C57BL/6J	207	AG1	HF	F	C57BL/6J_HF	36.13	0.151	0.008	HF_Y	Young	0.89	0.41	1.5	321	816	0.39	0	3954	10.3	2501	0.66	0	0	0	26	8.3	45.7	0	29.9	70	2013	8	C_041	17/10/2013	2013	10	24.03.13	17.10.13
C042	batch1	batch1	batch2	C57BL/6J	213	AG1	HF	M	C57BL/6J_HF	31.9	0.1947	0.0175	HF_Y	Young	3.73	0.27	4	59	73	0.81	23	359	16.7	358	0.08	0	0.28	2.9	9.2	48.1	38	27.2	912	73	2015	2	C_042	20/04/2015	2015	4	19.09.14	20.04.15
C042_r	batch2			C57BL/6J	213	AG1	HF	M	C57BL/6J_HF	31.9	0.1947	0.0175	HF_Y	Young	3.73	0.27	4	59	73	0.81	23	359	16.7	358	0.08	0	0.28	2.9	9.2	48.1	38	27.2	912	73	2015	2	C_042	20/04/2015	2015	4	19.09.14	20.04.15
C043	batch1	batch1	batch1	BXD102	714	AG4	CD	F	BXD102_CD	24.95	0.113	0.007	CD_O	Old	1.79	0.23	2	295	679	0.43	16	6942	9.5	1608	0.1	0.7	0.58	4.8	11.4	50.2	132	32.1	1348	615	2012	2	C_043	17/10/2013	2013	10	03.11.11	17.10.13
C043_r	batch2			BXD102	714	AG4	CD	F	BXD102_CD	24.95	0.113	0.007	CD_O	Old	1.79	0.23	2	295	679	0.43	16	6942	9.5	1608	0.1	0.7	0.58	4.8	11.4	50.2	132	32.1	1348	615	2012	2	C_043	17/10/2013	2013	10	03.11.11	17.10.13
C044		batch1	batch2	DBA/2J	212	AG1	HF	F	DBA/2J_HF	37.29	0.143	0.009	HF_Y	Young	1.72	0.19	1.8	244	757	0.32	27	3277	12.1	941	0.69	0	0	0.76	11.5	13.6	49.4	85	34.3	70	2013	8	C_044	17/10/2013	2013	10	19.03.13	17.10.13
C045	batch2	batch1	batch2	BXD73	206	AG1	HF	F	BXD73_HF	24.28	0.1334	0.0138	HF_Y	Young	0.27	0.47	0.7	869	1873	0.46	0	0	13.2	3302	0.3	0	0.42	33.3	13.5	34.5	19	19.9	781	73	2015	2	C_045	20/04/2015	2015	4	26.09.14	20.04.15
C046	batch1	batch1	batch2	BXD65	711	AG4	CD	F	BXD65_CD	26.42	0.16	0.007	CD_O	Old	0.53	0.41	1.2	186	838	0.22	0	1708	7.9	945	0.17	0.8	0.48	49.1	10.6	36.9	80	23.1	3079	452	2012	7	C_046	15/10/2013	2013	10	04.11.11	15.10.13
C047	batch1	batch1	batch2	C57BL/6J	760	AG4	HF	M	C57BL/6J_HF	68.86	0.1546	0.0246	HF_O	Old	3.44	0.56	4	131	224	0.58	25	167	10.3	944	0.21	0	0.29	27.3	7.7	60	32	21.8	1607	627	2013	8	C_047	27/04/2015	2015	4	28.03.13	27.04.15
C048		batch1	batch2	BXD100	176	AG1	HF	F	BXD100_HF	38.45	0.1699	0.018	HF_Y	Young	0.51	0.79	2.5	114	353	0.32	0	1234	8.3	1543	0.96	0	0	0.23	0	16	60.2	40	47.1	77	2015	2	C_048	24/04/2015	2015	4	30.10.14	24.04.15
C049	batch1	batch2	batch2	BXD63	752	AG4	CD	F	BXD63_CD	22.4	0.0987	0.0149	CD_O	Old																				628	2015	2	C_049	26/10/2016	2016	10	05.10.14	26.10.16
C050	batch1	batch1	batch2	DBA/2J	212	AG1	CD	F	DBA2J_CD	30.31	0.173	0.008	CD_Y	Young	0.46	0.32	0.8	349	880	0.4	0	6625	7.9	1621	1.88	0	1.37	8.8	11.4	42.8	68	24.3	2629	70	2013	8	C_050	17/10/2013	2013	10	19.03.13	17.10.13
C051		batch1	batch1	D2B6F1	210	AG1	CD	F	D2B6F1_CD	41.77	0.184	0.006	CD_Y	Young	1.35	0.24	1.6	853	2362	0.36	9	0	14.7	2864	0.31	0	0	0.59	14.2	11.2	42.6	73	25.2	70	2013	8	C_051	17/10/2013	2013	10	21.03.13	17.10.13
C052	batch1	batch1	batch2	C57BL/6J	777	AG4	HF	M	C57BL/6J_HF	60.71	0.1486	0.0181	HF_O	Old	4.22	0.66	5.3	257	402	0.64	11	1237	11	1702	0.64	0	0.23	13.1	10.2	61.4	45	25.2	1398	627	2013	8	C_052	27/04/2015	2015	4	11.03.13	27.04.15
C053	batch1	batch1	batch1	DBA/2J	764	AG4	CD	F	DBA2J_CD	24.57	0.101	0.0139	CD_O	Old																				680	2014	10	C_053	1/9/16	2016	9	30.07.14	01.09.16
C054		batch2	batch2	BXD90	188	AG1	CD	F	BXD90_CD	20.09	0.099	0.01	CD_Y	Young	2.09	0.3	2.1	84	141	0.6	10	450	11.5	927	0.36	0	0	0.3	9.8	7.3	58.8	336	20.6	91	2014	7	C_054	24/10/2014	2014	10	19.04.14	24.10.14
C055	batch2	batch2	batch2	BXD65b	748	AG4	CD	F	BXD65b_CD	17.62	0.0724	0.012	CD_O	Old																				628	2015	2	C_055	26/10/2016	2016	10	09.10.14	26.10.16
C056		batch2	batch2	BXD63	186	AG1	HF	F	BXD63_HF	42.04	0.136	0.0285	HF_Y	Young	3.52	0.29	3.8	260	475	0.55	8	2285	14.8	840	1.56	2.3	2.3	0.64	8.2	7.4	48.9	60	26.2	112	2014	7	C_056	14/11/2014	2014	11	12.05.14	14.11.14
C057	batch1	batch1	batch2	BXD29	182	AG1	HF	F	BXD29_HF	29.07		0.019	HF_Y	Young																				42	2015	11	C_057	15/12/2015	2015	12	16.06.15	15.12.15
C058		batch1	batch2	BXD63	751	AG4	CD	F	BXD63_CD	26.56	0.086	0.0131	CD_O	Old																				678	2014	10	C_058	30/08/2016	2016	8	10.08.14	30.08.16
C059		batch1	batch1	BXD102	183	AG1	CD	F	BXD102_CD	20.34	0.1488	0.013	CD_Y	Young	1.5	0.17	1.7	82	123	0.67	18	473	14.7	371	0.51	0	0	0.71	1.8	11.2	50.8	137	26.5	137	2014	1	C_059	30/05/2014	2014	5	28.11.13	30.05.14
C060	batch1	batch1	batch2	C57BL/6J	182	AG1	HF	F	C57BL/6J_HF	30.89	0.169	0.021	HF_Y	Young	0.18	1.46	1.9	1228	2977	0.41	2	2519	14.3	4126	0.83	4.1	1.95	758.8	10.8	36.9	27	21.7	14554	134	2014	6	C_060	24/10/2014	2014	10	25.04.14	24.10.14
C061	batch1	batch2	batch2	BXD48	188	AG1	CD	F	BXD48_CD	25.9	0.1683	0.0179	CD_Y	Young	2.13	0.32	2.2	651	856	0.76	11	696	18.4	1151	0.21	0.9	0.48	6.6	14.2	52.6	202	25.7	1089	73	2015	2	C_061	20/04/2015	2015	4	14.10.14	20.04.15
C061_r	batch2			BXD48	188	AG1	CD	F	BXD48_CD	25.9	0.1683	0.0179	CD_Y	Young	2.13	0.32	2.2	651	856	0.76	11	696	18.4	1151	0.21	0.9	0.48	6.6	14.2	52.6	202	25.7	1089	73	2015	2	C_061	20/04/2015	2015	4	14.10.14	20.04.15
C062		batch1	batch2	C57BL/6J	215	AG1	CD	F	C57BL/6J_CD	25.7		0.0146	CD_Y	Young	1.94	0.09	2	100	244	0.41	9	3256	17.4	632	0.16	0.5	0.5	0.5	14.8	7.9	49	113	15.3	48	2012	7	C_062	6/9/12	2012	9	04.02.12	06.09.12
C063	batch1	batch1	batch2	D2B6F1	744	AG4	CD	F	D2B6F1_CD	43.9	0.1637	0.0154	CD_O	Old	2.75	0.15	2.6	58	123	0.47	3	496	13.7	533	0.28	0	0.79	1.5	8	56.7	108	27.6	860	257	2013	8	C_063	22/04/2014	2014	4	08.04.12	22.04.14
C063_r	batch2			D2B6F1	744	AG4	CD	F	D2B6F1_CD	43.9	0.1637	0.0154	CD_O	Old	2.75	0.15	2.6	58	123	0.47	3	496	13.7	533	0.28	0	0.79	1.5	8	56.7	108	27.6	860	257	2013	8	C_063	22/04/2014	2014	4	08.04.12	22.04.14
C064		batch2	batch2	BXD29	182	AG1	HF	F	BXD29_HF	30.74		0.015	HF_Y	Young																				42	2015	11	C_064	15/12/2015	2015	12	16.06.15	15.12.15
C065	batch1	batch1	batch2	C57BL/6J	777	AG4	HF	M	C57BL/6J_HF	33.81	0.1335	0.0144	HF_O	Old	4.04	0.58	4.2	419	299	1.4	1	399	6.8	2045	0.32	0	0.06	10.4	10.4	75.6	35	23.9	857	627	2013	8	C_065	27/04/2015	2015	4	11.03.13	27.04.15
C066		batch2	batch2	BXD48	740	AG4	CD	F	BXD48_CD	26.27	0.155	0.008	CD_O	Old	0.24	0.92	1.5	31	89	0.35	34	64	9.8	17	0.34	0	0	0.68	14.9	11.3	50.9	399	32.7	610	2012	2	C_066	15/10/2013	2013	10	06.10.11	15.10.13
C067		batch2	batch2	BXD32	721	AG4	HF	F	BXD32_HF	31.41	0.0881	0.011	HF_O	Old																				594	2015	2	C_067	22/09/2016	2016	9	02.10.14	22.09.16
C068	batch1	batch1	batch2	BXD73	206	AG1	CD	F	BXD73_CD	19.9	0.1399	0.0122	CD_Y	Young	0.21	0.56	0.6	1532	3343	0.46	2	0	9.4	2757	0.4	1.4	1.17	628.5	18.1	32.1	78	23.7	4704	73	2015	2	C_068	20/04/2015	2015	4	26.09.14	20.04.15
C069		batch2	batch2	BXD63	216	AG1	HF	F	BXD63_HF	33.4			HF_Y	Young	0.76	0.12	0.8	68	812	0.08	0	0	5.7	2420	0.86	0	0	0	4.8	6.1	31.5	0	14.9	86	2012	2	C_069	9/5/12	2012	5	06.10.11	09.05.12
C070	batch1	batch1	batch2	BXD51	705	AG4	CD	F	BXD51_CD	26.04	0.105	0.012	CD_O	Old																				613	2014	4	C_070	15/12/2015	2015	12	09.01.14	15.12.15
C071	batch1	batch1	batch1	BXD90	218	AG1	HF	F	BXD90_HF	36.36	0.119	0.005	HF_Y	Young	2.28	0.35	2.6	282	542	0.52	9	3744	14.6	1441	0.47	0	0.41	41.7	9.1	50.5	101	23.6	1171	69	2013	8	C_071	16/10/2013	2013	10	12.03.13	16.10.13
C072	batch2	batch2	batch2	BXD100	743	AG4	CD	F	BXD100_CD	25.26	0.112	0.008	CD_O	Old	1.64	0.14	1.6	150	164	0.91	18	1972	9.2	610	0	0	0.54	2.9	13	48.4	377	21.5	1411	615	2012	2	C_072	17/10/2013	2013	10	05.10.11	17.10.13
C073	batch1	batch2	batch2	BXD73	694	AG4	HF	F	BXD73_HF	25.44	0.148	0.009	HF_O	Old																				614	2014	4	C_073	16/12/2015	2015	12	21.01.14	16.12.15
C074		batch1	batch1	BXD100	715	AG4	HF	F	BXD100_HF	38.86	0.0982	0.015	HF_O	Old	2.94	0.08	2.8	206	370	0.56	17	985	13.3	716	0.31	0	0	0.54	69.2	5.1	48.5	68	21.6	442	2013	8	C_074	24/10/2014	2014	10	08.11.12	24.10.14
C075	batch2			BXD51	211	AG1	HF	F	BXD51_HF	37.65	0.225	0.008	HF_Y	Young	1.53	0.09	1.4	107	257	0.42	4	306	10.3	846	0.29	0	0.53	86.8	11.7	49.8	105	39.4	926	68	2013	8	C_075	15/10/2013	2013	10	18.03.13	15.10.13
C076		batch1	batch2	BXD29	736	AG4	HF	F	BXD29_HF	43.7	0.0956	0.0081	HF_O	Old	1.57	0.12	1.2	250	557	0.45	0	990	11.2	1786	0.08	0	0	0.48	10.6	9.5	44.9	113	26.1	535	2012	7	C_076	6/1/14	2014	1	01.01.12	06.01.14
C077	batch2			BXD34	201	AG1	CD	F	BXD34_CD	24.49	0.15	0.005	CD_Y	Young	2.39	0.2	2.1	118	231	0.51	1	881	11	1757	0.24	0	0.12	0.6	8.8	61	77	29.6	1213	69	2013	8	C_077	16/10/2013	2013	10	29.03.13	16.10.13
C078		batch1	batch1	BXD68	735	AG4	CD	F	BXD68_CD				CD_O	Old																				413	2015	9	C_078	26/10/2016	2016	10	22.10.14	26.10.16
C079	batch1	batch1	batch2	BXD100	743	AG4	CD	F	BXD100_CD	24.6	0.102	0.005	CD_O	Old	1.81	0.21	2	145	158	0.92	18	415	7	943	0.12	0	0.44	2	8.7	58.2	266	23	881	615	2012	2	C_079	17/10/2013	2013	10	05.10.11	17.10.13
C080		batch2	batch2	C57BL/6J	828	AG4	HF	M	C57BL/6J_HF	36.04	0.1446	0.0196	HF_O	Old																				701	2014	10	C_080	22/09/2016	2016	9	17.06.14	22.09.16
C081	batch1	batch2	batch2	D2B6F1	214	AG1	HF	F	D2B6F1_HF	58.36	0.21	0.016	HF_Y	Young	0.19	0.77	0.9	54	691	0.08	33	1606	9.1	20	0.63	10.6	0.31	18.2	8.5	36	49	40.2	1681	70	2013	8	C_081	17/10/2013	2013	10	17.03.13	17.10.13
C082	batch1	batch2	batch2	BXD34	201	AG1	CD	F	BXD34_CD	33.54	0.15	0.007	CD_Y	Young	0.94	0	0.8	170	653	0.26	0	4256	10.3	1855	0.56	0	0	6.9	10.4	46.4	0	40	2018	68	2013	8	C_082	15/10/2013	2013	10	28.03.13	15.10.13
C083	batch1	batch2	batch1	DBA/2J	709	AG4	HF	F	DBA2J_HF	24.45	0.0876	0.019	HF_O	Old	1.34	0.39	1.4	204	402	0.51	0	732	3.4	1408	0.17	2.9	0.46	78.6	14.6	60.2	141	39.5	805	535	2012	7	C_083	6/1/14	2014	1	28.01.12	06.01.14
C084	batch1	batch1	batch1	BXD51	705	AG4	HF	F	BXD51_HF	31.39	0.125	0.019	HF_O	Old																				613	2014	4	C_084	15/12/2015	2015	12	09.01.14	15.12.15
C084_r	batch2			BXD51	705	AG4	HF	F	BXD51_HF	31.39	0.125	0.019	HF_O	Old																				613	2014	4	C_084	15/12/2015	2015	12	09.01.14	15.12.15
C085	batch1	batch1	batch1	BXD53	718	AG4	CD	F	BXD53_CD	26.07	0.0999	0.0134	CD_O	Old	1.69	0.47	2	92	183	0.5	3	3438	9.7	799	0	0	0.29	31	11.7	40.7	72	14.1	954	535	2012	7	C_085	6/1/14	2014	1	19.01.12	06.01.14
C085_n	batch2			BXD53	718	AG4	CD	F	BXD53_CD	26.07	0.0999	0.0134	CD_O	Old	1.69	0.47	2	92	183	0.5	3	3438	9.7	799	0	0	0.29	31	11.7	40.7	72	14.1	954	535	2012	7	C_085	6/1/14	2014	1	19.01.12	06.01.14
C086	batch1	batch2	batch2	BXD53	718	AG4	CD	F	BXD53_CD	32.54	0.1015	0.0115	CD_O	Old	2.12	0.16	1.9	137	315	0.43	0	1936	11.7	1096	0.04	0.3	0.44	26.5	12.1	53.9	160	24.7	972	535	2012	7	C_086	6/1/14	2014	1	19.01.12	06.01.14
C088		batch1	batch2	BXD67	716	AG4	CD	F	BXD67_CD	23.48	0.135	0.011	CD_O	Old	3.14	0.2	3.1	45	124	0.36	19	295	12.5	242	0.68	0	0	0.56	19.8	3.1	57	50	9.8	328	2013	11	C_088	9/10/14	2014	10	23.10.12	09.10.14
C089	batch1	batch1	batch2	BXD67	716	AG4	CD	F	BXD67_CD	27.03	0.145	0.017	CD_O	Old	1.86	0.31	2	87	226	0.38	10	521	6.2	372	0.19	0	0.33	8.4	3.6	48.1	338	29.8	886	328	2013	11	C_089	9/10/14	2014	10	23.10.12	09.10.14
C089_n	batch2			BXD67	716	AG4	CD	F	BXD67_CD	27.03	0.145	0.017	CD_O	Old	1.86	0.31	2	87	226	0.38	10	521	6.2	372	0.19	0	0.33	8.4	3.6	48.1	338	29.8	886	328	2013	11	C_089	9/10/14	2014	10	23.10.12	09.10.14
C090	batch2			BXD84	220	AG1	CD	F	BXD84_CD	18.76	0.1324	0.0075	CD_Y	Young																				133	2016	5	C_090	22/09/2016	2016	9	15.02.16	22.09.16
C091		batch1	batch2	BXD61	188	AG1	HF	F	BXD61_HF	35.66	0.1413	0.0121	HF_Y	Young	2.09	0.26	2.3	56	229	0.24	25	506	9.7	391	0.48	0	0	0.78	219	9	52.6	84	27.1	112	2014	7	C_091	14/11/2014	2014	11	10.05.14	14.11.14
C092		batch1	batch2	BXD61	188	AG1	HF	F	BXD61_HF	38.92	0.1503	0.0128	HF_Y	Young	2.88	0.24	2.9	734	1309	0.56	12	2575	14.1	2724	0.07	0	0	0.2	23.4	11.4	40.8	55	25.6	112	2014	7	C_092	14/11/2014	2014	11	10.05.14	14.11.14
C093	batch1	batch1	batch1	BXD65b	174	AG1	HF	F	BXD65b_HF	45.76	0.1864	0.0346	HF_Y	Young	2.69	0.13	2.5	907	1449	0.63	7	0	13.7	3773	0.24	0	0.34	45.8	5.4	40.3	25	23.6	635	91	2014	7	C_093	24/10/2014	2014	10	03.05.14	24.10.14
C094	batch2			BXD29	572	AG3	CD	F	BXD29_CD	22.37	0.0781	0.0051	CD_O	Old	0.93	0.14	0.8	91	372	0.24	8	2314	7.5	946	0.01	0.9	0.65	8.5	6.8	47.6	309	17.9	833	334	2012	7	C_094	19/06/2013	2013	6	25.11.11	19.06.13
