taxonomy	C001	C008	C009	C010	C011	C014	C015	C016	C018	C019	C020	C021	C022	C023	C024	C025	C026	C027	C028	C029	C030	C031	C032	C033	C034	C035	C036	C037	C038	C039	C040	C041	C042	C043	C044	C045	C046	C047	C048	C049	C050	C051	C052	C053	C054	C055	C056	C057	C058	C059	C060	C061	C062	C063	C064	C065	C066	C067	C068	C069	C070	C071	C072	C073	C074	C076	C078	C079	C080	C081	C082	C084	C085	C086	C088	C089	C091	C092	C093
k__Bacteria|p__Bacteroidetes|c__CFGB4875|o__OFGB4875|f__FGB4875|g__GGB24146|s__GGB24146_SGB35950	0.13323	0.05526	0.05459	0.4482	0.71811	0	0.05532	0.14965	0.04577	0.81061	0.03555	0.17409	0.14046	0.14768	0.47552	0	0.04163	0.30975	0.10335	0.44624	0.15772	0.02257	0.12677	0.00687	0.04759	0.09754	0.26518	0.01851	0	0.02973	0.01508	0.31461	0	0.00872	0.11768	0.10011	0.03132	0.41436	0	0.00667	0	0.10984	0.30942	0	0.06882	0.02564	0.0623	0.11722	0	0.01953	0.61801	0.5727	0.09394	0.21962	0.26114	0.42141	0.02223	0	0.0158	0.1276	0	0.2465	0.00914	0.26945	0	0.22001	0.01259	0.00988	0.16965	0.36672	0.05753	0.11377	0.15436	0.0734	0.01869	0.02783	0.08973	0.8185	1.33623
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter_hepaticus	0.12637	0	0	0	0.72634	0	0.59678	0	0	0	0	0	0	0	0	0.12843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15913	0	0	0	1.06896	0	0.76708	0	0	0.04098	0	0	0	0	0	0	0	0	12.06848	0	0	0.43698	0	0	0.61693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1494|o__OFGB1494|f__FGB1494|g__GGB28784|s__GGB28784_SGB41437	0.12598	0	0	0	0	0	3.22361	0.38131	0.08681	0	0	0	0	0	0	1.12474	0.01291	0.01132	0.01049	0	0	0.05398	0	0	0	0	0	0	0	0	0	0.28679	0	0	0	0	0.13161	0	0	0	0	0	0	0.65141	0	0.07312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78251	0	0	0	0	0	0.28992	0	0	0	0	0	0.0771	0.08172	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30461|s__GGB30461_SGB43530	0.11952	0	0.11664	0.39046	0	0	0.08904	0.00154	0.03697	0.34702	0.11342	0	0.1684	0	0	0.10767	0	0	0.20571	0.20416	1.24453	0	0	0.00268	0.02366	0.0074	0	0	0	0.11042	0	0.0899	0	0	0	0	0	0.15327	0	0.00074	0.19163	0.07358	0	0.42652	0	0.03282	0	0	0.00867	0.22536	0.07256	0.22627	0.28172	0.29336	0.0467	0.09314	0	4.28718	0.08313	0	0.19071	0	0	0	0	0	0.10886	0	0	0.03944	0	0.08993	0.15152	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB75980|o__OFGB75980|f__FGB75980|g__GGB27476|s__GGB27476_SGB43516	0.11801	0	0	0	0	0.36744	0	0	0	0	0	0.18361	0.05684	0	0	0	0	0	0	0	0	0	0.55328	0.06789	0.03956	0	0	0.2933	0	0	0	0	0	0.03511	0	0.15903	0	0	0.03378	0.11988	0	0	0	0.27106	0	0	0.53089	0	0	0	0	0	0	0	0	0	0	0	0	0.46454	0.01533	0	0.59884	1.41538	0	0.00462	0.01175	0.36256	0.0349	0.00304	0.03846	0.13037	0.61353	0.75115	0.07748	0.15136	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Schaedlerella|s__Schaedlerella_arabinosiphila	0.11066	2.36442	1.53902	0.60589	0.02099	0	0.09793	0.11973	0.15928	0.836	0.50332	0.25841	0.27371	0.02156	0.16295	0.39933	0.18947	0.86599	0.03454	0.02894	0.03009	0.2865	0.33276	0	0	0.7515	0.16708	0.36994	0.32588	0.03274	2.12118	0.1333	0	0.13313	0.0396	0.02556	0.07597	0.02906	0.61527	0.15579	0.19971	0.43611	0.05304	0.84569	0.11757	0.3991	0.20111	0.08033	0.02093	0	0.6438	0.93793	0.00454	1.58936	0.09828	0.10098	0.56146	0.39898	0.04365	0.10575	0.69246	0.03707	0.55338	0.38064	1.08118	0.35521	0.16872	0.28683	0.22505	0.14219	0.64563	0.09554	0.43648	0.27481	0.25015	0.30532	1.61315	1.2127	2.36085
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB74395|s__GGB74395_SGB43523	0.10566	0.03874	0	0.38899	0	0	0.00629	0.00145	0.01718	0.0157	0.22045	0.13061	0.00849	0.23624	0.10698	0.09215	0.48685	0.32998	0.06927	0.05416	0.0302	0.04109	0.05169	0.11181	0.03152	0.02926	0.30845	0.00464	0.06912	0.3606	0.02545	0.0414	0	0.10733	2.34069	0.56468	0.19872	0.65705	0.54947	0.03803	0.26145	0.1714	0.14769	0.04162	0.19401	0.00638	0	0	0.02373	0.18294	0	0.02541	0.06203	1.37556	0	1.41623	0.00643	0.42956	0.86335	0.01468	0.10223	0.21165	0.28528	1.17181	0.11933	0.15359	0.02995	0.12319	0.00875	1.1903	0.67032	0.51583	0.20875	0.06039	0.06985	0.39162	2.23235	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella_freteri	0.09165	0.09707	0.02382	0.20357	0.22306	0.12903	0.05541	0.04576	0.01854	0.23679	0.12465	0.25849	0.31173	0.29878	0.08545	0.07884	0.44954	0.22712	0.15806	0	0.1739	0.06388	0.21756	0.21237	0.11445	0.27715	0.23551	0.08179	0	0.26502	0.05285	0.11523	0	0.093	0.09828	0.08539	0.09379	0.05098	0.0956	0.11559	0.11926	0.26383	0.1389	0.09256	0.9878	0.11095	0.08739	0.26255	0	0.17406	0.28424	0.55134	0.78619	0.15882	0.38197	0.22076	0.70695	0.02773	0.23758	0.10866	0.22743	0.32364	0.59386	0.75433	0.04312	0.20661	0.09989	0.19722	0.31395	0.43737	0.21605	0.26485	0	0.00965	0.27749	0.26344	0.04215	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30468|s__GGB30468_SGB43552	0.08988	0.07559	0.04349	0.11937	0.05482	0	0.01165	0.04296	0.03034	0.09867	0.00553	0.07801	0.04325	0	0.27862	0.03743	0.09887	0.03219	0.0175	0	0.04028	0.02808	0.09389	0.01255	0.01267	0.02839	0.07486	0.02324	0.00511	0.01377	0.11676	0.1502	0	0.04886	0	0.10958	0.03934	0.03164	0	0.01636	0.02026	0.15061	0.27118	0.07837	0.03258	0.01403	0.00533	0	0	0.01242	0.02947	0.02399	0.04286	0.11709	0	0.07025	0	0.10052	0.14356	0.0626	0.00124	0	0.06396	0.09545	0	0.19624	0.02693	0.02394	0.01588	0.30897	0.07739	0.02738	0.06397	0.0218	0.0432	0.01649	0.02424	0	0.00429
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB75064|s__GGB75064_SGB102200	0.08907	0.0686	0.15072	0.30435	0.02095	0	0.17202	0.14403	0	0.12996	0.092	1.11029	0.48971	0	0.66686	0.0128	0.09506	0	0.26452	0	0.02807	0.03015	0	0.11417	0	0.14519	0.0943	0.02318	0.062	0.03701	0.12758	0.0966	0	0.05875	1.83956	0.2205	0	0.05862	0.05433	0.01796	0	0.06068	0.1067	0.10278	0	0.29284	0.04824	0.02283	0.03642	0	0	0.00636	0.04447	0.31896	0.40189	0.43356	0.03851	3.18759	0.28316	0	0	0.02641	0.10511	0.56106	0.00903	0	0.01028	0.0618	0.08615	0.18955	0.17448	0	0.03913	0.02587	0.01922	0	0.54751	0.12505	0.42692
k__Bacteria|p__Firmicutes|c__CFGB76074|o__OFGB76074|f__FGB76074|g__GGB28949|s__GGB28949_SGB41655	0.0804	0.97834	0.0062	0.03114	0.20302	0	2.60706	0.27149	1.67009	0.25231	1.7829	0.78622	1.51993	0.72549	1.5283	1.24404	0.83716	0.95393	2.17906	0	1.84742	1.08081	0.85125	0.36744	0.63573	3.04751	0.07337	0.32467	0.46891	1.91075	0.94066	0.25192	0.00475	1.266	0.85549	0.38016	0.88232	0.13535	0.08811	3.66612	1.85059	0.88314	0.15807	0.32439	1.98574	1.68134	0.11039	0.18091	0.23347	0.36228	0.18019	5.23457	0.07052	1.19985	0.02967	0.17591	2.33136	1.16361	2.87769	0.15153	0.49763	0.10301	0.9373	0.49389	0.01487	0	1.32689	1.23406	0.30656	0.20239	2.19326	0.96354	0.27352	0.19666	1.03632	1.19915	0.17618	0.11539	0.0732
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB28849|s__GGB28849_SGB41516	0.07754	0.4013	0	0	0	0	0.01839	0	0.07923	0	0.08534	0	0.13489	0	0	0.74501	0.43361	0.01531	0.1453	0	0.20411	0.0914	0.04324	0.06393	0.1825	0.0642	0	0	0	0.02273	0.0489	0	0	0.11521	0	0	0.08356	0	0	0.04653	0.02875	0.30729	0	0.06331	0.27768	0.0273	0	0	0.04288	0.03176	0	0.06653	0.02548	0	0.02191	0	0	0.80267	0.10895	0.07679	1.38385	0.04532	0.23181	0.07534	0	0	0.04249	0.11588	0	0.11793	0.09178	0	0.12798	0.33279	0.07381	0.01262	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB5207|s__GGB5207_SGB43496	0.07695	0	0.13909	0.21943	0	0	0	0	0	0.13801	0	0.26269	0	0	0	0	0.00711	0	0.05568	0	0.00211	0	0	0.00522	0	0	0.08152	0	0.00733	0	0.04322	0	0	0	0	0	0	0.00154	0	0	0	0.0543	0.1246	0	0	0	0	0.0229	0	0	0	0	0.0093	0.10275	0.05737	0.06882	0	0.10587	0	0	0.00839	0.02273	0.0754	0.19506	0	0.08806	0	0.00725	0.17231	0.00165	0.0378	0	0	0.05164	0	0	0.30879	0	0.03267
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30457|s__GGB30457_SGB63218	0.0765	0.02949	0.08097	0	1.14554	0.73737	0.05719	0.36868	0.05469	0.59488	0.16262	0.55108	0.24935	0	0.32584	0.07724	0.06503	0	0.09335	0	0.05415	0.0311	0.43291	0.07314	0.0013	0.04782	0	0.10871	0	0.02012	0.05263	0.24919	0	0.02684	0.01389	0.10285	0	0.11968	0	0.01486	0.02201	0.29559	0.36557	0	0	0.15106	0.28832	0.31753	0.00258	0.02992	0.3778	0.05336	0.06024	0.2083	1.0552	0.01067	0	0	0.30672	0.32285	0.07714	0.00125	0.13968	0.05762	0	0	0.00629	0.0709	0.13919	0.61538	0.26806	0.91111	0.53072	0.02315	0.02878	0	0.06039	0.12897	0.29677
k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293|f__FGB76293|g__GGB28869|s__GGB28869_SGB41543	0.0722	0.00995	0	0.11407	0.00053	0.0822	0.26597	0.00035	0	0.02286	0.18838	0.05895	0.01344	0.01712	0	0.15553	0.17703	0.70148	0.21935	0.02806	0.06994	0.16996	0	0.07209	0.03074	0.11375	0.05423	0	0	0.05867	0.04214	0.01666	0	0.0045	0	0	0.07265	0.04813	0	0.10286	0.11599	0.04006	0.01904	7e-04	0.14681	0.0211	0.0047	0.05462	0.01272	0.27646	0.15974	0.01063	0.16841	0.08711	0.02038	0.03343	0	0	0	0	0.02125	0.03027	0	0.04037	0.32055	0.3502	0.03673	0	0.02041	0.0421	0	0.09756	0.31432	0.02859	0.0714	0.02795	0.0419	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB76349|o__OFGB76349|f__FGB76349|g__GGB27861|s__GGB27861_SGB40295	0.07003	0.03186	0.14151	0.59635	0.20553	0.08044	0.07916	0.11518	0.02195	0.5581	0.00706	0.12942	0.08873	0.10709	0.01984	0	0	0	0.07559	0	0.21805	0.02144	0.1577	0	0.02094	0.00338	0	0.03134	0	0.01397	0.01574	0.21927	0	0	0.01637	0.07943	0	0.187	0	0.00305	0	0.06462	0.49626	0	0	0.04914	0.03608	0	0	0.00601	0.27286	0	0.05222	0.1456	0	0.48972	0	0.12068	0	0.0311	0	0	0	0.11721	0	0	0	0	0.06092	0.14184	0.06606	0.06893	0	0	0	0.0029	0.14658	0	0
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28815|s__GGB28815_SGB41470	0.06904	0	0	0	0.57166	0	0	0	0	0.14145	0	0	0	2.17676	0.01322	0	0	0	0	0	0	0	0	0	0	0	0.32291	0	2.58081	0	0	0	0	0	0	0	0	0.20896	0.42144	0	0	0	0.64186	0	0	0	0	0.85665	0	0	0.08174	0	0.00806	0	2.63895	1.85918	0	0	0	0	0	0	0	0.0119	0	0.25378	0	0	0.05805	0	0	0.13875	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB1791|o__OFGB1791|f__FGB1791|g__GGB27770|s__GGB27770_SGB40184	0.06735	0.0394	0	0.20953	0.85425	0.91094	0.01967	0.17743	0.00254	0.19722	0	0.20875	0	0.22227	0.06926	0.00256	0.02895	0.79933	0.13147	0	0.06688	0.01076	0.21383	0	0.01922	0.09075	0	0.09336	0.03088	0.01925	0.03424	0.22694	1.01798	0.01487	0.21317	0.15072	0.05362	0.17892	0.03784	0.00512	0.01196	0.09755	0.06537	0	0	0	0.47235	0	0	0	0.36056	0	0.12992	0.08471	0	0.1472	0	0.43492	0.01375	0.16022	0	0	0	0.11306	0	0	0	0.0172	0.02254	0.4022	0	0.1909	0.10661	0.06489	0.00358	0.02663	0.1437	0	0
k__Bacteria|p__Firmicutes|c__CFGB75988|o__OFGB75988|f__FGB75988|g__GGB79760|s__GGB79760_SGB63182	0.06689	0	0.05112	0.16233	0.21616	0	0.0276	0.09661	0	0.12026	0	0.11606	0.10038	0.20634	0.21953	0.00501	0.04251	0.17405	0.06552	0	0.03101	0.00242	0.05938	0.01845	0.01126	0.0165	0	0.04864	0	0.00891	0.02459	0.04786	0	0	0.23489	0.1027	0.01931	0.08157	0.06953	0	0.00562	0.03743	0.14903	0	0	0.00061	0.05193	0	0	0.00939	0.09535	0	0.01265	0.05381	0	0.1402	0	0.17806	0.03039	0.06238	0.00495	0.00219	0.05854	0.24729	0	0	0	0.02482	0	0.26283	0.01976	0.10868	0.03754	0.00403	0	0	0.13936	0	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_0_1xD8_82	0.06644	0	0	2e-04	0	0	0.00803	0	0.00875	0	0	0	0	0	0	0.06582	0.2595	0.00416	0.03547	0	0.0105	0.051	0	0	0	0.01944	0	0.13239	0	0	0	0	0	0	0	0	0.02477	0	0	0.00232	0	0.06544	0.00063	0	0	0.00022	0.10851	0	0	0	0	0	0.03408	0	0	0.0056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02029	0.03992	0.03375	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB28934|s__GGB28934_SGB41637	0.06468	0.02874	0	0.04335	0	0	0	0	0.05977	0.02564	0.0214	0.00089	0.28011	0.12795	0	0.00857	0	0.70934	0	0	0	0.05997	0.00266	0.05965	0.05769	0	0.05661	0	0.33976	0.10887	0.01758	0	0	0.10222	0	0	0	0.00411	0	0.00709	0.06101	0.00035	0	0	0	0	0	0.06429	0.16586	0.11643	0	0.03605	0	0.0118	0.11618	0	0	0	0	0.04464	0.04468	0.02341	0	0.01173	0	0.06352	0.01518	0.07634	0.31954	0.01297	0.13842	0.22593	0.08793	0.00811	0	0	0.00518	0.00789	0.05748
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_CU971	0.06146	0.13841	0	0	0.04451	0	0.39847	0	0.23388	0	0.68193	0.24059	0.08118	0.2395	0.0728	0.20891	0.27411	0.02345	0.49439	0	0.05747	0.08289	0.23806	0.01164	0.07298	0.24005	0	0	0	0.03974	0.06945	0	0.4688	0.13023	0.03571	0.12007	0.09867	0.01745	0	0.04267	0.14532	0.47469	0	0.14036	0.5353	0.1404	0	0.03749	0	0.13627	0	0.17966	0.08958	1.167	0	0	0.07703	0	1.73896	0.03419	0	0.26666	0.42561	0.12009	0	0.45919	0.27434	0.16502	0	0.22927	0.59894	0.1427	0.00822	0.00708	0.2351	0.76162	0	0.08598	0.11359
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB14001|s__GGB14001_SGB21428	0.06012	0.02864	0.21741	0.28992	1.07022	0.57273	0	0.09167	0.09279	0.23601	0	0.4374	0.12899	0.37304	0.49243	0	0	1.25265	0.07467	0	0.03823	0	0.15871	0	0.02768	0.13755	0.11683	0.11073	0	0.0012	0	0.05798	0	0	0.38554	0.02452	0.54847	0.07319	0.10722	0	0	0.04122	0.05447	0	0.02559	0	0.07565	0	0	0	0.10949	0.04279	0.11298	0.10996	0.05117	0.18457	0.2332	0.29673	0.14361	0.03044	0	0	0.19708	0.23094	0	0.20862	0	0.10235	0.52037	0.59965	0.05087	0.14214	0.25717	0.15463	0.03453	0.02907	0.11044	0.81813	0.61042
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB28433|s__GGB28433_SGB41016	0.05288	0.02112	0	0.06724	0	0	0.20774	0.00487	0.1428	0	0.06379	0.08888	0	0	0	0.0784	0	0	0.03903	0	0.21176	0.49646	0	0.57168	0.15476	0.16231	0.22716	0	0	0.22421	0.06908	0	0	1.90948	0.09506	0.00791	0.16115	0.07926	0	0.7174	0.60869	0.1008	0.03093	0.00925	0	1.24007	0	0	0	0	0	0.16647	0.35726	0	0	0.02367	0.04354	0	1.1456	0.04398	0	0.04768	0.63723	1.05556	0	0.45404	0.05135	0	0	0.34489	0.25487	0	0.04752	0.04855	0.04826	0	0.01	0	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_1XD8_76	0.04562	0	0	0	0	0	0.20954	0	0.64404	0	0	0	0	0	0	0	0	0	0	0	0	0.01279	0	0	1.73051	0	0	0.10713	0	0	0	0	0	0.98044	0	0	0.40881	0	0	0.51401	0	0	0	0	0	0	0.01662	0	0.06438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00133	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB76790|o__OFGB76790|f__FGB76790|g__GGB30302|s__GGB30302_SGB43267	0.04261	0	0	0	0.15611	0	0.08022	0.01156	0	0.00339	0	0.2386	0.06265	0.06849	0.03766	0.00876	0	0	0.13775	0	0	0	0.03609	0	0	0	0	0.05735	0.00865	0	0	0.03086	0	0	1.25235	0	0.003	0	0.09738	0	0	0	0	0	0	0	0.02305	0	0	0.01866	0	0.00979	0	0	0	0	0	0	0.01498	0.05875	0	0	0.02254	0.66768	0	0.0537	0	0.00769	0.04189	0	0.02081	0.1722	0	0.01534	0	0	0.36863	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__GGB28632|s__GGB28632_SGB41253	0.04112	2.2407	2.56571	1.01585	0.4563	0	0	0.35093	1.00695	0.75347	0	3.23472	0	0	1.16898	0	0.31321	0.00253	0	0.54989	1.16396	0	0.54223	0	0	0	0	0.37941	0	0	0	1.52778	0.002	0	0.40583	0.03945	0	0.79794	0	0	0	0.59214	1.22285	0	0	0	0.67195	1.01565	0.03353	0	0	0	0.44963	1.45762	1.41957	0	0	4.84484	0	0.29944	0	1.74365	0	0	5.32198	0	0	0	0	0.22992	0	0	0.14987	0.24957	0	0	1.09747	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_SGB40327	0.03822	0	0	0	0.04753	0	0	0	0.00996	0	0	0.00095	0	0	0	0	0	0	0	0	0	0	0.01432	0	0.00513	0.00403	0	0.01763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01579	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0.06485	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB72709|o__OFGB72709|f__FGB72709|g__GGB30300|s__GGB30300_SGB43264	0.0378	0.01017	0	0.10628	0.13733	0	0.00299	0.05764	0	0.06683	0	0.27113	0.10553	0	1.56942	0	0.00371	0	0	0	0	0	0.01385	0	0	0	0.05835	0.05521	0	0.02168	0.02851	0.22629	0	0	1.01089	0	0	0.23792	0	0	0.00054	0.01155	0.1287	0	0	0	0.10178	0	0	0	0.03668	0	0	0	0	0.2223	0	0	0	0.07721	0	0.35827	0	0.45507	0.40671	0.03847	0	0	0	0.6433	0.07444	0.41495	0.0109	0	0	0	0	0.2791	0.38859
k__Bacteria|p__Firmicutes|c__CFGB76234|o__OFGB76234|f__FGB76234|g__GGB28950|s__GGB28950_SGB41657	0.03766	0.16976	0	0	0	0	0	0	0.17975	0	0	0	0	0	0	0.00779	0	0	0	0	1.18316	0.79436	0.06741	0	0.11862	0.0723	0	0.12395	0	0	0.0074	0	0	0.0796	0.00347	0	0.09005	0	0	1.14987	0	0.11266	0.00224	0.05033	0	0.11852	0.09801	0	0.00536	0.00997	0	0	0.01055	0	0	0	0.14814	0	0	0.08593	0	0.11734	0.1823	0.00836	0	0	0	0.95511	0	0.00039	0.01188	0	2.4015	2.57156	1.15925	2.64283	0.45333	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30297|s__GGB30297_SGB43261	0.0345	0.02485	0.14009	0.4663	0	0	0.11042	0.07213	0.01386	0.54698	0.07648	0.01643	0	0.19615	0.34925	0.02288	0.11582	1.14963	0.13614	0	0	0.00905	0.03126	0	0.01408	0.03196	0.05168	0.27277	0.07366	0.07974	0.04733	0.36217	0	0.00235	0.12338	0	0	0.04213	0	0.00802	0.05092	0.0765	0.28779	0.0297	0	0.08265	0.2605	0.32956	0.0354	0.00156	0	0.02454	0.00623	0.00932	0.65999	0.48272	0	0.05844	0.00606	0.01928	0.01447	0.24261	0.01105	0.12084	0.11577	0.22478	0.01747	0.04174	0.0907	0.11517	0.05445	0.37457	0	0	0	0	0	0.3879	0.60611
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB74408|s__GGB74408_SGB43542	0.03224	0	0.00351	0.08854	0.03143	0	0.00967	0.0044	0.0736	0.15173	0	0	0	0	0	0.01673	0	1.17669	0.01682	0	0.06482	0.03239	0.06512	0	0.00312	0.00618	0	0.05212	0.01502	0	0	0.09113	0	0	0	0.01785	0	0.06758	0	0.0745	0	0	0.08506	0	0.04941	0	0.00686	0.02093	0	0	0	0.06907	0.01132	0.02076	0.08429	0.12364	0	0	0	0.00929	0.01196	0	0.26354	0.32547	0.44588	0	0.00255	0.07616	0.02193	0.49216	0.05793	0.03332	0.00929	0	0.01435	0.02306	0.07603	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB45514|s__GGB45514_SGB63186	0.03156	0	0	0.13257	0.24111	1.59393	0.03123	0.18318	0.02217	0.27463	0	0.27735	0.22616	0.33758	0.37678	0.03007	0.06506	0.32733	0.17096	0	0.04423	0.01765	0.1536	0.02019	0.01204	0.03085	0.0066	0.04324	0	0.02898	0.03979	0.15838	0	0.02918	0.54562	0.078	0.08503	0.22675	0.0407	0.02434	0.04128	0.0259	0.26401	0.00613	0.04011	0.06933	0.13506	0.07831	0	0.02189	0.31057	0.03205	0.01549	0.06521	0.24309	0.19068	0	0.22469	0.20228	0.04653	0.01308	0.04081	0.11542	0.2175	0.07714	0.02579	0.03512	0.00082	0.02679	0.39116	0.06508	0.31908	0.18737	0.02246	0.04589	0.08076	0.24861	0.17976	0.11025
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30295|s__GGB30295_SGB43259	0.03138	0	0.01062	0	0.26117	0	0	0	0	0	0	0.08637	0	0	0	0.07858	0	0	0	0	0.00569	0	0.02256	0.33634	0.06807	0	0	0	0	0	0	0	0	0.56263	0	0	0.01333	0	0	0	0	0	0	0	0	0	0	0	0	0.20192	0	0	0	0	0	0	0	0.00805	0	0.08931	0.02713	0	0	0	0.16166	0	0	0	0	0	0	0	0	0	0.02198	0.14056	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii	0.02493	0.16481	0.12016	0	0.1044	0.13836	0.00745	0	0	0.0451	0.10952	0.17584	0	0	0	0.00467	0.01087	0.03278	0.0161	0	0	0.03126	0	0	0	0.2372	0.09166	0	0.07021	0	0.09394	0	1.18003	0	0	0	0.07887	0	0	0.01736	0	0	0.04673	0	0.19814	0	0	0.00838	0.03568	0	0	0.25203	0.0958	0	0.0247	0.00631	1.01516	0	0.00882	0	0	0	0	0.05908	0	0.21405	0	0	0.06138	0.04716	0	0	0	0.03324	0.24619	0.34281	0	0.02108	0.02407
k__Bacteria|p__Bacteroidetes|c__CFGB75970|o__OFGB75970|f__FGB75970|g__GGB24149|s__GGB24149_SGB35953	0.02379	0.21304	0.17222	0.36568	0.54175	0.99149	0.16027	0.06589	0.07263	0.34741	0	0.12043	0.14147	0.87541	0.45999	0.00231	0.0862	0.87889	0.2124	0.03502	0.38539	0.06397	0.23157	0.03367	0.09611	0.11187	0.34264	0.03116	0	0.04915	0.09412	0.11729	0	0.01294	0.17395	0.2852	0.03414	0.21439	0.01062	0.02896	0.01082	0.2773	0.17019	0.00592	0.4075	0.16981	0	0	0	0.04193	0.3012	0	0.11624	0.45519	0	0.18514	0.0173	1.27832	0.01784	0.17613	0.00722	0.35695	0	0.19183	0	0.23101	0.02828	0.02294	0.2197	0.4198	0.2256	0.36062	0.24001	0.07981	0.04596	0.18402	0.12939	0	0
k__Bacteria|p__Firmicutes|c__CFGB76071|o__OFGB76071|f__FGB76071|g__GGB28926|s__GGB28926_SGB41623	0.02297	0.18249	0	0	0	0	0.58289	0	0.04302	0	0.33384	0	0	0	0	0.12418	0.12639	0	0.11183	0	0	0.22267	0	0.19462	0.07018	0	0	0	0	0.08754	0.19141	0	0	0.72893	0	0	0.08773	0	0.08015	0.20285	0.08022	0.11512	0	0.14339	0	0.03063	0	0	0	0.34268	0	0.63492	0	0.49002	0	0	0	0	0.55059	0	0	0	0.46237	0.00478	0	0	0.04341	0.82542	0	0	0.49488	0	0.05843	0.18743	0.01801	0.05755	0	0	0
