taxonomy	C007	C008	C009	C012	C015	C016	C017	C020	C023	C025	C025_n	C025_r	C026	C027	C028	C029	C030	C030_r	C031	C033	C035	C036	C037	C039	C040	C042	C042_r	C043	C043_r	C045	C046	C047	C049	C050	C052	C053	C055	C057	C060	C061	C061_r	C063	C063_r	C065	C068	C070	C071	C072	C073	C075	C077	C079	C081	C082	C083	C084	C084_r	C085	C085_n	C086	C089	C089_n	C090	C093	C094	C095	C096	C097	C099	C100	C101	C102	C103	C104	C105	C108	C109	C110	C112	C113	C114	C115	C116	C117	C118	C119	C124	C126	C127	C128	C129	C133	C134	C135	C142	C143	C144	C145	C146	C147	C148	C149	C150	C151	C152	C153	C154	C155	C156	C157	C158	C159	C160	C162	C163	C164	C165	C166	C167	C168	C169	C170	C172	C173	C174	C175	C176	C178	C179	C180	C181	C182	C183	C184	C185	C186	C187	C188	C190	C191	C196	C197	C198	C199	C200	C201	C202	C203	C204	C205	C206	C207	C208	C209	C210	C211	C212	C213	C214	C215	C216	C217	C218	C219	C220	C221	C222	C223	C224	C225	C226	C227	C228	C229	C230	C232	C233	C234	C235	C237	C238	C240	C241	C242	C243	C244	C245	C246	C247	C248	C249	C250	C251	C252	C253	C254	C256	C257	C259	C260	C261	C262	C263	C264	C265	C266	C267	C268	C269	C270
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Emergencia|s__Emergencia_sp_1XD21_10|t__SGB41482	0.00088	0.13816	0.15174	0.00772	0.03476	0.01375	0.01372	0.04684	0	8e-04	0	0.00059	0.00342	0.26814	0.01144	0.0088	0.01051	0.0086	0	0.00206	0.00269	0.05453	0	0	0.1797	0	0	0	0	0.00404	0.01961	0	0	0	0	0.00435	0.00361	0.00742	0.00471	0.00631	0.0024	0.00854	0.00544	0	0	0.00119	0.00647	0	0	0	0.01183	0	0.00479	0.00748	0	0	0	0	0	0.00213	0	0	0.00557	0.02356	0.04859	0.06406	0.02371	0.02908	0.00581	0.00032	7e-04	0	0	0.00138	0.00287	0	0	0.05597	0	0.00113	0	7e-05	0	0	0	0	0	0.00429	0.00731	0	0.01447	0.01445	0.00264	0.00625	0	0	0	0	0	0.00376	0	0.51731	0	0	0	0.0035	0.00126	0.00196	0	0	0	0.00563	0	0	0.12318	0.0081	0	0.00252	0	0	0.00229	0.05008	0	0	0	0	0	0.00173	0.00496	0	0	0.00938	0.00687	0	0.00876	0.01714	0.00434	0.00925	0.01016	0.0077	0	0	0.04015	0.02329	0.18186	0.01965	0.0229	8e-04	0.01387	0.00189	0	0.01183	0	0	0.0156	0.00872	0.00619	0	0.12741	0.00015	0.00706	0.01894	0.00014	0.00436	0.01592	0.00432	0.00166	0	0.02163	0	0.00661	0.02425	0	0	0	0	0	0	0.0092	0.00805	0	0	0.00783	0.00098	0.01024	0.00065	0.03838	0	0.00082	0.00213	0.00891	0	0	0	0.00433	0.06778	0.00047	0	0	0	0	0.00619	0	0.0035	0.00859	0.03197	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified|s__Clostridiales_bacterium|t__SGB82506	0.00084	0.00508	0.0053	0	0.00672	0.00304	0	0.00076	0.00718	0	0	0	0	0.00338	0.00129	0.00067	0.00079	4e-05	8e-05	0	0	0	0.00752	0.00068	0.00108	0	0	0.00015	0	0.01117	0	0.00238	0.00016	0	0	0.00114	0.02714	0.01215	0.00242	0	0	0.00027	0	0	0	0	0.00373	0	0.0033	0.01794	0	0	0.00165	3e-05	0.00628	0.00243	0.00126	0	0	0	0	0	0	0.03342	0	0	0.00626	0.005	2e-04	0	0	0.00738	0	0.03217	0	0.0028	0	0	0	0.00218	0.02543	0	0	0	0	0.00056	0	0.00503	0	0	0.00718	0.00175	0	0	0	6e-05	0	0	0	0	0	0.03513	0	0	0.00168	0.02347	0	0.00066	0.00021	0.001	0	0	0	0	0.0125	0.00785	0	0.0012	0.00075	0.04849	0	0	0	0	0.00042	0	0	0	0	0.00018	0	0	0.0281	0	0.00868	0.00085	0.00081	0	0	0	0.00357	0.00274	5e-05	0.01721	0	0.00448	0.00366	2e-04	0	0.02728	0.04578	0	0.00138	0	0	0	0	0	0	0	0.00327	0	0.00093	0	0.01237	0	0	0	0	0	0	0.00416	0	0	0.00104	0.00124	0	0.00708	0	0	0	0	0	5e-05	0.00409	0.00183	0.01928	0	0	0	0.00499	0	0	0	0	0	1e-04	0.00561	0	0	0	0	0	0.00247	9e-04	0.00094	0.00017	0	0.00053	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae|g__Christensenella|s__Christensenella_SGB41486|t__SGB41486	0.00079	1.3098	0.04163	0	0	0.42497	0	0.60471	0	0	0	0	0	0	0	0	0.00069	0	0.00941	0	0	0	0	0	0.29778	0	0	0	0	0.07409	0	0	0	0	0	0.0095	0.06306	0	0	0	0	0	0	0	0	1.17779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28714	0	0	0	1.15684	0	0.10684	0	0	0	0	0	0	0	0	0	0	0	0	0.02657	0	0	0	0.33293	0	0	0	1.71596	1.15121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76183	0	0	0	0	0.33924	0	0	1.22182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01349	0	0.98247	0	0	0	0	0	0	0.07478	0	0	0	0	0	0	2.29221	0.8506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0584	0	0	0	0	2.47543	2.22599	0	1.41434	0	0	0	0	0	0	0	0	0.18146	0	0	0	0	0	0	0	0	0	0	0	0	0.22694	1.2521	0	0.3619	0	1.24968	0
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313|o__OFGB76313|f__FGB76313|g__GGB28927|s__GGB28927_SGB41625|t__SGB41625	0.00033	0.75106	0.01869	0.51481	0.1665	0.02725	0.57878	0.50962	0.00826	0.5186	0.64977	0.51636	0.35938	0.15206	0.88276	0.03079	0.205	0.20335	0.26302	0.35384	0.24858	0.04918	0.04003	1.47514	0.75925	0.23312	0.27084	0.63948	0.69083	0.73804	0.15065	0.02365	0.21022	1.33069	0.1008	0.49975	0.69452	0.04055	0.01275	0.52125	0.5191	0.14161	0.14462	0.11125	0.44472	0.5229	0.29643	0.34672	0.05107	0.01235	0.21857	0.63327	0.03918	0.31915	0.10886	0.05955	0.04153	0.13827	0.20218	0.33453	0.90382	1.04535	0.23028	0.09017	0.33713	0.01302	0.22192	0.53798	0.26622	0.36657	0.79773	0.20392	0.16818	0.05896	1.10641	2.51779	0.10075	0.26718	0.31695	0.21944	0.0045	0.54839	0.02609	0	0.09514	0.68918	0.10517	0.52767	0.15509	1.46525	0.89483	0.17658	2.43578	0.94449	0.04495	0.25245	0.74365	0.17534	0.59915	0.99077	0.97222	0.04813	0.35131	0.05606	0.06498	0.15773	0.64096	0.14415	1.29699	0.04974	0.08342	0.44269	0.18275	0.02091	0	0.03233	0.10266	0.45508	0.16188	0	0.55426	0.10598	0	0.45081	0.57743	0.37762	0.47663	0.08179	0.58552	0.70094	0.50974	0.54606	0.00096	1.43364	0.07172	0.50128	0.04803	0.31512	0.16924	1.14666	0.3062	0.8522	0.51361	0.0182	0.47362	0.70124	0	0.2656	0.8186	0.03173	0.10811	0.69565	0.4836	0.11842	0.53232	0.32588	0.91858	0.01659	0.04511	1.65391	0.45726	0.75652	1.78458	0.42755	0.00106	0.19017	0.17752	0.69753	1.37532	0.67709	0.58721	0.01104	0.12271	0.21415	0.68413	0.01129	0.18826	0.01961	0.00277	0.07102	0.11455	0.00486	0.66927	0.49981	0.02329	0.53186	0	0.33307	0.80217	0.15152	0.48424	0.06762	0.3476	0.21225	0	0.00669	0.02965	0.01042	0.21665	0	0	0.81471	0.26336	0.16122	0.01117	0.63294	2.08691	0.02283	0.16637	0.09187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaerotruncus|s__Anaerotruncus_colihominis|t__SGB82507	0.00032	0	0	0	0.00174	0.04127	0.01771	0.01275	0.35751	0	0	0	0	0	0.00185	0.0355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04415	0	0	0	0	0	0.14667	0.04779	0	0	0	0	0	0	0	0	0	0.03112	0	0	0	0	0.00295	0.14704	0.02498	0.02383	0	0	0	0	0	0	0	0	0	0	0	0.02937	0	0	0	0	0.24188	0	0	0	0.00722	0	0	0.23616	0	0	0.1859	0	0	0	0	0	0	0	0	0	0	0.09021	0	0	0	0	0	0	0	0.04929	0.01561	0.01708	0.04108	0	0	0	0.21226	0	0	0	0.01946	0.46784	0	0.06015	0.03833	0	0	0	0	0	0	0	0	0	0.00775	0	0	0	0	0.10692	0	0	0	0.01821	0	0	0	0.10963	0	0	0	0	0	0.11003	0	0	0.00855	0.02309	0	0	0	0	0	0	0	0.17396	0	0.01811	0	0	0	0	0	0	0.00088	0.00706	0	0.0029	0.03428	0	0	0	0.1848	0.10189	0	0.22675	0	0.1518	0	0	0	0.02118	0	0.06632	0	0.00317	0	0	0	0	0	0.28229	0	0	0	0	0	0	0	0	0.00884	0.03402	0	0.02785	0	0.01336	0
k__Bacteria|p__Candidatus_Saccharibacteria	0	0.99389	0.01947	0.1523	0.32756	0	0.49541	0.01729	0	1.28241	0.83017	1.31446	0.71781	0	0.22486	0	0.09709	0.10676	1.51245	0.39138	0.1149	0.08144	0.02407	0.11137	0.62955	0	0	0.45183	0.43964	0.65047	0.27106	0	0.17628	0.33242	0.02733	0.62082	0.62187	0	0	0.42765	0.4289	0.2846	0.28016	0.04558	0.3871	0.68499	0	0.02448	0	0	0.01083	0.09417	0.06382	0.02456	0	0.02272	0.0225	0.00811	0.00698	0.05636	0.05922	0.0633	0.57929	0	0.30023	0	0.53749	0.2514	0.09514	0.25193	0.32882	0.35775	0	0	0.50918	2.38373	0	0.01815	0.23512	0	0.06414	0.02312	0	0	0	0.1897	0	1.12376	0.00609	0.04711	3.64207	0	1.0632	0.45499	0.37019	1.00472	0.66582	0	0.30197	0.82181	0.89238	0	0.08058	0	0	0	1.39068	1.67864	0.59278	0	0	0.56886	0	0	0	0	0	0.16311	0.03098	0	0.01492	0	0	0.0909	0.19059	0.03396	0.01626	0	0.46427	0.40215	0	0.10159	0	0.04648	0	0.03728	0	0.45961	0	0.09682	0	0.41237	0.55758	0	0	0.10066	0	0.56903	0.09526	0	0.12733	0.96185	0.48728	0	0.01123	0.25168	0.14115	0	0	0.11662	0	0.06678	0.26313	0.65626	0	0.40983	0.07344	0.64645	0.04662	0.15671	0.52157	0	0	0.20439	0.00454	0	0	0	0	0	0	0.07769	0.38257	0.30479	0	0.34215	0	0.07561	0.54063	8e-05	0.37407	0	0.06906	0.46402	0	0	0.01846	0.00989	0.15273	0	0	0.02458	0.02664	0	0	0.01245	0.04263	0	0	0
k__Bacteria|p__Tenericutes	0	0.00102	0	0.08354	0.22374	0	0	0.0491	0	2.79802	0.22098	2.57256	0.18439	0	0	0	0.17998	0.13386	0.23735	0	0.09755	0.03081	0	0.16657	0.00407	0	0	0.46049	0.45201	0	0.04696	0	0.00887	0.18935	0	0	0	0	0	0.03585	0.02194	0.22323	0.28019	0	0.02571	0	0	0.03827	0	0	0	0.19471	0	0.12465	0	0	0	0	0	0	0	0	0.00274	0	0.41539	0.01018	0	0	0.02085	0.05287	0.19665	0.29549	1.21555	0	0	0	0	0	0	0	0	0.00562	0	0	0	0.01099	0	0	0.10959	0.03648	0.0028	0.24073	0	0.00446	0	0.00031	0.00207	0	0.12384	0.03085	0	0	0	0	0	0	0	0	0.0291	0	0	0	0	0	0	0	0	0	0	0	0.00883	0	0	0	0.02041	0.02154	0	0	0	0.08216	0	0	0	0.00645	0	0.57489	0	0	0	0	0	0	0.18847	0	0	0.0104	0	0	0	0	0	0.0717	0	0	0.14386	0	0.04079	0	0	0	0	0	0.07915	0.01088	0	0	0	0.03966	0	0.00114	0	0	0	0.01766	0.37058	0	0	0	0	0	0	0	0.00366	0.08294	0	0.04027	0	0	0	0	0.18433	0	0.05495	0.48609	0	0	0	0	0	0	0	0	0.00385	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB76539	0	4.26052	0.02273	0.30587	0.39964	0	0	0.22682	0	2.39663	0.23379	2.22819	0.4458	0.00065	0	0	0	0	0.27697	0.67127	0.68832	0.00273	0	1.39021	0.32773	0	0	1.51792	1.48019	0.00132	0.04774	0	0.073	0.66023	0	0.00344	0	0	0	0.24968	0.23068	0.01013	0.00839	0	0.22254	0	0	2.09758	0.00017	0.01483	7.03335	7.26701	0.00921	1.603	0.00153	0.00045	0	0	0	0	0.00879	0.00259	0.40626	0	0	0	0.39505	0	0.17181	0.81706	3.52311	0.68974	4.04584	0	0.21563	0	0	0.19237	0.49823	0	0	0.02102	0	0	0	0.22553	0	0	2.82826	0.89279	0.1246	0.24393	0.10239	0.63143	0	0.43108	0.24402	0	0.44462	0.01935	0.25609	0	0	0	0	0	0.12138	0.43913	0.08454	0	0	0.79647	0.00032	0.02014	0	0	0	0	0.00619	0	0.40572	0	0	1.4192	0.26442	0	0.78725	0.06163	1.43707	1.53095	0	0	0	2.32345	0.10669	0.57021	0	0.00331	0	0	0	0.00972	1.60475	0	0	0	0	0.87	0	0	0	1.37775	0.19945	0	0.03144	1.08515	0.65853	0	0	0.90092	0.02135	0	0.24393	0.06453	0	0.00014	0	0.29138	0	1.64013	0	0	0	0.17835	0.01217	0	0	0	0	0	0	0	0.83679	0.28174	0	0.77932	0.0048	0.19851	0.75102	0	1.137	0.00328	0.1195	1.80477	0.00858	0	0	0	0.29535	0	0	0.66562	0.07953	0	0	0	0.10093	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB76170	0	0.89572	0.00476	0	0	0	0	0.01809	0	0.00091	0	0	0	0	0	0	0	0	1.0467	0.75336	0.61032	0.00234	0	0	0.98939	0	0	2.59627	2.58556	0	0	0	0	0	0	0.01626	0	0	0	0	0	0	0	0	0.00441	0	0	0.1577	3e-04	0	0.29345	0.03234	0	0.00747	0	0	0	0	0	0	0.01102	0.00748	0.04641	0	0	0	0.0709	0.11366	0.00631	0.00831	0.06934	0	0	0	0.04105	0	0	0	0.14642	0	0	0	0	0	0	0	0	0	0.01086	0.3881	0.0028	0	0.03343	0.11961	0	0.02581	0.00474	0	0.00279	0	0.19882	0	0.06892	0	0	0	0	0	0.02185	0	0	0	0	0	0	0	0	0.05286	0	0	0.09303	0	0	0	0.15061	0	0.01856	9e-05	0.37775	0	0	0	0	0.36114	0	0	0	0	0	0	0	0	0.03531	0	0	0	0	0	0	0	0	0.25118	0.00609	0	0	2.0353	0.02049	0	0	0	0	0	0.04779	0	0	0	0	0.10145	0	0.02753	0.00314	0	0	0.0686	0	0	0	0	0	0	0	0	0	0.35901	0	0.02503	0	0.02127	0	0	0.07241	0	0.01554	0.02698	0	0	0	0	0	0	0	0	0	0	0	0	0.01994	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB76576	0	0.48436	0.00596	0.00639	0.82923	0	6e-04	0.75628	0	0.03578	0.01186	0.03557	0.80541	0.00287	0.21642	0.00056	0.0016	0	0.66967	0.26656	0.31364	0	0	0.09696	0.09994	0	0	0.05859	0.0573	9e-04	0.02649	0	0	0.05227	0	0.38929	0	0	0	0.70979	0.67802	0.99675	0.96342	0	0.02881	0.20458	0	0.31537	0	0.00669	0.03269	0.38385	0	0.23134	0	0	0	0	0	0.00496	0.06376	0.05263	0.11721	0	0.12618	0	0.36258	0	0.05178	0.0732	0.68911	0.00435	0.03619	0	0.28546	0.26194	0	0.01383	0.00242	0	0	0.23813	0	0	0	0.07088	0	0.01307	0.06075	0.01699	0.14977	0.25368	0.94404	0.17028	0	1.43562	1.49237	0	0.09448	0	0.17317	0	0	0	0	0	0.61701	0.34308	0.56221	0	0	0.03881	0	0	0	0	0	0	0	0	0.22902	0	0	0.44661	0.41606	0	0	0	0	0.01039	0	0.03518	0	0.00688	0	0.75037	0	0.41834	0	0.03327	0	0.03186	0.02366	0	0	0.07431	0	0.15459	0.13403	0	0	0.04633	0.02675	0	0.00888	0.03135	0.00993	0	0	0.81564	0	0.12096	0	0	0	0	0	0.52511	0.04351	0.05523	0.05197	0	0	0.01245	0.01116	0	0	0	0	0	0	0	1.1182	0.04342	0	0.02432	0	0.00181	0.22365	0	0.33299	0	0.01514	0.0138	0	0	0	0	0.15	0	0	0	0.08771	0	0	0	0.0501	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB8157	0	0.26459	0.00753	0.49539	4.11332	0.00472	0.91595	1.04549	0.00155	3.06779	2.53851	3.08544	0.64258	0.00836	2.16571	0.017	0.15038	0.13339	0.2786	0.0045	0.00174	0.23433	0	0.12091	0.01483	0	0	1.2683	1.26658	5.99698	0.6504	0	3.1465	0.27875	0	0.04829	6.85135	0.0032	0.14251	1.20872	1.26737	2.17077	2.10311	0	0.57384	0.29414	0.19901	0.64003	0.02679	0.11777	0.01214	0.53038	0.03053	0.45977	0	0.00998	0.0123	0.12314	0.12302	0.65087	0.44481	0.46133	2.41863	0	1.17243	0.01462	1.95855	0.3226	1.85912	3.33387	6.20309	0.5994	0.05519	0	2.47887	0	0.03763	0	1.1517	0	0	0.00539	0.26114	0	0.05577	0.51439	0	0.35902	0.00442	1.2914	0.91349	0.04266	1.821	3.53643	0	0.02779	0.25823	0.01297	0.24934	1.11109	2.44354	0	0.0597	0	0.26975	0.00102	6.27876	1.96673	1.11532	0.02605	0	0.0432	0	0	0	0.01613	0.01077	0.03405	0.63609	0	0.037	0.08246	0	1.18581	0.03449	0.06679	0.8395	0.00639	0.44248	0.0068	0	0.0953	0	0.34719	0.00602	0.10714	0	2.03173	0.06641	0.00944	0.06879	0.06506	0.00891	0	0	0.00081	0	0.017	0.45377	0	0.0258	0.15031	0.55922	0	0.0466	0.30506	0.05373	0.02004	0	0.23506	0	0.00171	1.30651	2.94891	0.00293	1.47366	0.07581	0.56962	0.01193	0.38058	0.38735	0	0.05301	2.90644	2.47352	0	0.00948	0.05626	0	0	0	0	4.45742	0.76396	0	0.01302	0	0	0.30967	0.06057	1.28016	0.00091	0.06845	2.52836	0.00311	0	0.02309	0	0.20281	0	0	0.01825	0.41343	4.4509	0.01144	0.34309	2.1619	0.01814	0	0
k__Bacteria|p__Firmicutes|c__CFGB76308	0	0.17574	0.00054	0.10823	0.09117	0	0.82236	0.73128	0	0.38264	0.18731	0.38008	0.1188	0	0.03042	0	0.03333	0.02007	0.10323	0.21529	0.05442	0	0.00502	0.01614	0.45283	0	0	0.21372	0.20931	0.03844	0.11629	0	0.10153	0.04186	0	0.02363	0.0408	0.00638	0	0.18343	0.17981	0	0	0	0.07224	0.12254	0	0.17568	0	0.00346	0.08265	0.0495	0.00024	0.05844	0	0	0	0.01891	0.02693	0.09271	0.04647	0.06131	0.10794	0	0.09436	0	0.06303	0.04422	0.02682	0.20489	0.13571	0.04017	0.12526	0	0.08577	0.08842	0.08094	0.10104	0.08917	0	0	0.06857	0.00262	0	0.00122	0.00281	0	0.15155	0.06955	0.17614	0.1007	0.08223	0.55336	0.15077	0.04656	0.26338	0.26929	0	0.0729	1.52222	0.08064	0	0.11651	0	0	0	0.11878	0.14988	0.19211	0	0	0.52367	0	0	0	0	0.00138	0.09032	0.00493	0	0.05551	0	0	0.14117	0.20055	0.11307	0.17393	0.00586	0.11691	0.08927	0	0.0855	0	0.08099	0	0.18976	0	0.06939	0	0.10245	0	0.12955	0.12419	0	0	0.1727	0	0.14875	0.44635	0	0	0.0703	0.56077	0.00365	0.0989	0.12816	0.50735	0	0	0.14595	0	0.28637	0.09696	2.66726	0.00943	0.14845	0	0.18065	0.43161	0.01493	0.33139	0	0.05654	0.34875	0.07719	0	0	0	0	0	0	0	0.2095	0.05419	0	0.22861	0	0.06321	0.14639	0.10307	0.04306	0	0.08638	0.07366	0	0	0	0	0.13882	0	0	0.8379	0.1479	0	0	0.19204	0.04576	0	0.00504	0.00134
k__Bacteria|p__Firmicutes|c__CFGB1227	0	0.17418	0.0365	0	0.03692	0	0.08462	0.16525	0	0	0	0.00012	0	0	0.00611	0	0	0	0	0.00422	0	0.00278	0	0	0.02385	0	0	0.00122	0	0.00387	0	0	0	0	0	0.00309	0.00607	0	0	0	0	0.00079	0.00021	0	0.00604	0	0.00325	0	0	0.15644	0	0	0	0	0	0	0	0	0	0.00398	0	0	0	0	0.01228	0	0.00361	0	0	0	0	0	0	0.00997	0.0107	0.02174	0	0.00066	0.00419	0	0	0	0	0	0	0	0	0.0015	0	0	0.00035	0.0062	0.00083	0.00584	0	0.00325	0.00266	0	0	0	0	0.17419	0	0	0	0.00181	0.00757	0.01188	0.00116	0	0	0	0	0	0.00027	0	0	0	0	0	0	0	0	0	0.01526	0	0.00075	0.05041	0.00082	0	0	0.00054	0	0	0	0	0	0	0	0	0	0	0.01263	0.01204	0	0.00015	0.0012	0.00342	0	0	0	0	0.00309	0	0	0.00179	0	0	0.01228	0	0	0	0.00092	0	0	0	0	0	0	0	0.00838	0	0	0.00172	0	0	0.00086	0.00162	0	0	0	0	0	0	0	0	0.02794	0	0	0	0.00782	0	0.00036	0	0	0	0	0	0	0	0.01318	0	0	0	0	0.00738	0.05583	0.00544	0	0
k__Bacteria|p__Firmicutes|c__CFGB76071	0	0.13765	0.00062	0	0.19143	0	0.4028	0.17367	0	0.15632	0.09338	0.16027	0.08782	0	0.01546	0	0	0	0.17585	0.15886	0.00094	0	0	0.1044	0.11211	0	0	0.4241	0.4354	0.05188	0.0875	0	0.12902	0.07441	0	0.31851	0.0428	0	0	0.24543	0.27037	0.14866	0.14549	0	0.08489	0	0	0.32969	0	0.0063	0.25177	0.41002	0	0.23933	0	0	0	0.03412	0.04042	0.16313	1.12236	1.09894	0.0546	0	0.03209	0	0.07946	0.49536	0	0	0	0.02822	0.00824	0.00053	0	0.15695	0	0.0263	0.06177	0	0	0.0197	0	0	0	0.04784	0	0.04166	0.09275	0.09682	0	0	0.55101	0	0.13108	0.13077	0.06119	0	0.0502	0.11455	0.19915	0	0.04665	0	0.00156	0	0.34459	0.1942	0.60304	0	0	0.05604	0	0	0	0	0	0.06201	0.20839	0	0.18804	0	0	0.08314	0.38322	0.28546	0.30646	0.20141	0.18077	0.09165	0.00524	0.62057	0	0.02635	0	0.10123	0	0.10667	0	0.01194	0	0.07844	0.10472	0.04803	0	0.42744	0	0.03612	0.21269	0	0	0	0.10464	0	0.0607	0.28021	0.0971	0	0	0.03923	0	0.07068	0.05618	0.30985	0	0.17586	0	0.04485	0.15466	0.01734	0	0	0	0.13031	0.08947	0	0	0	0	0	0	0	0.03846	0.1398	0	0.17462	0	0.01201	0.08265	0.00847	0.08798	0	0.21101	0.03284	0	0	0	0	0.05766	0	0	0.21458	0.07564	0	0	0.8904	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9589	0	0.12833	0.00194	0	0.01119	0.05849	0	0.01278	0	0.0018	0.00909	0.00011	0.05707	0	0	0	0.04391	0.03474	0.07483	0.0906	0.32447	0.81106	0.00057	0	0.16377	0	0	0.25251	0.25501	0	0.18533	0	0	0	0	0.02485	0	0	0	0.24341	0.2047	0.83762	0.83843	0	0	0.12424	0	0	1.18435	0.02063	0	0	0.00221	0	0	1.81787	0.58425	0.13142	0.21322	0.03846	0.44042	0.35235	0.00572	0	0	2.42362	1.21075	0.49742	0.66952	0.1645	0.27927	0.32372	0	2.72761	0.07205	0.03779	0	0	0.2121	0	0	0	0	3.98653	0	0.1814	0	0.47126	0	0	0	0	0.3644	0.03856	0	0.00747	0	0.00539	0.66147	0.05616	0.3479	0	0	0.91664	0	1.89095	0.01094	0.06767	0	0	1.99635	0	0	0	0	0	0.53055	0	0.04637	0	0	0	0	0.51735	0	0.54755	0.17962	0.13532	0.11773	0.64124	0	0.3637	1.24508	0.00404	0	0.50977	0	0	0.2196	0	0	0.03304	0.34622	0	0	0.36601	0	0.03733	0.0392	1.80213	0.94603	0	0.10312	2.42066	0.21027	0	0	0	0.50486	0	0	0	0.17557	0.01897	0	0.41696	0.08761	0.1014	0.0634	0.6979	0.01602	0	0	0.04107	0	2.56371	0.61193	0	1.4385	0	0	0.0394	0.00099	0.22506	0.32221	0.12499	2.51509	0	0	0	0.06801	1.29222	0.03741	1.28289	0.00369	2.43323	0.01992	0.73686	0	4.03162	0	0	0	0	0	0.08756	0.00759	0	0	4.14891
k__Bacteria|p__Firmicutes|c__CFGB9633	0	0.10938	0	2.6624	0.21335	0	0	1.14856	0	1.65192	2.70575	1.61561	1.83854	0.0071	0	1e-04	1.01354	0.98078	0.7262	0.46005	0.30957	0.00142	0	6.15382	1.59672	0.03719	0	1.22891	1.26596	0.04953	0.73005	0	0.47732	6.67249	0	1.49406	0.04907	0	0	0.00553	0.00053	0.83865	0.77729	0	0	0.17246	0	3.31353	0.00144	0.07276	0	1.74023	0.00084	0.02604	0	0	0	0.32396	0.57057	0.00728	0	0	2.56173	0	0.43444	0	0.40655	0.03702	0.82577	1.14793	1.04417	0	0.34057	0	0.61666	0	0	0	0.01771	0	0	0.79215	1.30944	0	0	0.55072	0	0	0.64631	0	0.67492	0	1.89492	0.74179	0	0.11461	5.12297	0	1.42604	0.07551	1.51576	0	0	0	0	0	0.05977	0.1508	0.12972	0	0	0.33124	0	0	0	0	0	0	0.39235	0	0	0	0	0.47342	0.83595	0.34867	0.21379	0	0	0.02263	0	0.76665	0	0.79268	0.00838	0.54954	0	0.02818	0	3.52254	0	0.58552	0.54859	0	0	0.00074	0	0.07212	2.18437	0	0	0.30522	0.84256	0	0.00705	0	0	0	0	0	0	0.16095	1.72638	0.49197	0	0.12604	0	3.6545	0.09818	0.32908	0.11415	0	0	0.20037	0.02119	0	0	0	0	0	0	0	1.92447	0.18363	0	0.13119	0	0.63294	2.53774	0.00533	0.26302	0.01826	0.29968	4.00856	0.01771	0	0	0	0	0	0	1.02825	1.90124	0	0	0.10631	0.35369	0.00221	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes	0	0.09665	0	0.01622	0.4496	1.42406	0.87532	0.03886	0	0.01961	0	0.01821	0.40804	0	7.0806	0.07753	2.24666	2.22613	0.78604	0	0	0	0	0.06931	0.12565	0.08255	0	0.28652	0.24938	1.4238	1.05199	0	0.09808	0.38209	0	0.08321	1.3138	0	0.00187	0	0	0.76245	0.69547	0	2.53567	0	0	0	0	0	0.08444	0	0.00103	0.52938	0	0	0	2.07532	2.26244	2.73083	0.48188	0.43254	1.10095	0	0	0	0.17149	0.08535	4.80771	0.02749	0.00908	0.20317	0	0.00751	0.60346	0.07863	0.0174	0	0.00627	0	0	5.00069	0	0	0	0	0	1.30084	0.39535	0	6.61548	1.60734	0.37496	0.66906	0	0.31134	0.43013	0	0.09042	3.87748	0	0	0	0	0	0.02502	6.83529	8.83397	0.59082	0	0	0.00111	0	0	0.01607	0	0	0	1.22706	0	0.08944	0	0	0.14164	0.35579	0	0	0	0.16922	1.8758	0.10987	0.05693	0	0.24856	0	0.2808	0	0.01718	0.40078	1.04549	0	0.1703	0.00016	0	0	0.0092	0	0.36269	1.67124	0	0	0.27968	0.41538	0	0.66053	0.48762	0	0	0	0	0	0.20205	0.29353	3.65807	0.01068	0.74904	0	0.18499	0.85607	0.1056	0.17632	0	0	0.0415	0.01075	0	0	0	0	0	0	0	4.6938	0.17508	0	0.28383	0	0.00375	1.71948	0.00204	1.64866	0.21556	0	0.09718	0	0	0	0	0.08956	0	0	1.52824	5.87581	0.04717	0.00291	1.03496	0.1869	0	0	0
